SUPPLEMENTARY CODE	DESCRIPTION	COMMODITIES
A 	AGED	M
AQ	AQUACULTURE	F
B 	EXEMPTION	M
BG	US BEEF FOR GRINDING	M
C 	ACCELERATED CONDITIONING	M
CE	CALF INTESTINES FOR ENZYME EXTRACTI	M
DM	MANUFACTURING GRADE	D
E 	ELECTRICAL STIMULATION	M
EA	EU BALAI PRODUCT (ANNEX A)	S
EB	EU BALAI PRODUCT (ANNEX A)	S
EC	EU BALAI PRODUCT (ANNEX A)	S
ED	EU BALAI PRODUCT (ANNEX A)	S
EE	EU BALAI PRODUCT (ANNEX A)	S
EF	EU BALAI PRODUCT (ANNEX A)	S
EG	EU BALAI PRODUCT (ANNEX B)	S
EH	EU BALAI PRODUCT (ANNEX B)	S
EI	EU BALAI PRODUCT (ANNEX B)	S
EJ	EU BALAI PRODUCT (ANNEX B)	S
EK	EU BALAI PRODUCT (ANNEX B)	S
EL	EU BALAI PRODUCT (ANNEX B)	S
EM	EU BALAI PRODUCT (ANNEX B)	S
EN	EU BALAI PRODUCT (ANNEX B)	S
F 	FARL	M
G 	GRAIN FED	M
GC	GRAINS & SEEDS FOR CONSUMPTION	G
GH	GRAINS & SEEDS FOR SPROUTING	G
GP	GRAINS & SEEDS FOR PROCESSING	G
GR	GRAINS & SEEDS FOR RESEARCH	G
GS	GRAINS & SEEDS FOR SOWING	G
H 	COOKED	M,E
HQ	GRAIN FED HIGH QUALITY BEEF	M
I 	IRRADIATED	M
J 	FOR US DEFENCE FORCES	M
L 	LOT FED	M
LA	LIVE AQUACULTURE	F
LW	LIVE WILD ORIGIN	F
M 	MILK FED	M
O 	ORGANIC	M
PF	PERFORMANCE ENHANCEMENT FREE	M
R 	RANGE FED	M
S 	GRASS FED	M
T 	TENDER STRETCHED	M
T1	JJ	M
TX	EU TRANSIT	M
V 	GILT PORK - SINGAPORE ONLY	M
WO	WILD ORIGIN	F
X 	BARROW PORK - SINGAPORE ONLY	M
