OFFICE CODE	OFFICE NAME	STATE
FYW	FYSWICK	ACT
ALS	ALSTONVILLE	NSW
BAL	BALLDALE	NSW
BZD	BALRANALD	NSW
BMO	BANKSMEADOW	NSW
BDE	BARADINE	NSW
BRH	BARHAM	NSW
BHS	BATHURST	NSW
BAT	BATLOW	NSW
BBK	BELLBROOK	NSW
BRG	BERRIGAN	NSW
BOM	BOMADERRY	NSW
BRK	BOURKE	NSW
BAM	BRAEMAR 	NSW
BRT	BROOKLET	NSW
BDH	BULAHDELAH	NSW
BGA	BURONGA	NSW
BYW	BYWONG 	NSW
CNA	CANOWINDRA	NSW
CLE	CLARENDON	NSW
CFS	COFFS HARBOUR	NSW
COL	COLEAMBALLY	NSW
CON	CONDOBOLIN	NSW
CNB	COONAMBLE	NSW
CMD	COOTAMUNDRA	NSW
CBH	CORINDI BEACH 	NSW
CWT	COWRA	NSW
DAR	DARETON	NSW
DTP	DARLINGTON POINT 	NSW
DNQ	DENILIQUIN	NSW
DBO	DUBBO	NSW
DUR	DURANBAH	NSW
ELL	ELLERSLIE	NSW
EUS	EUSTON	NSW
FLY	FINLEY	NSW
FRB	FORBES	NSW
GUL	GOULBURN	NSW
GFN	GRAFTON	NSW
GFE	GRENFELL	NSW
GFF	GRIFFITH	NSW
GDF	GUILDFORD	NSW
GUH	GUNNEDAH	NSW
HDN	HARDEN	NSW
HXX	HAY	NSW
HIL	HILLSTON	NSW
JNE	JUNEE 	NSW
KAN	KANGY ANGY	NSW
KIA	KIAH	NSW
LEE	LEETON	NSW
LSM	LISMORE	NSW
LON	LONDONDERRY	NSW
LDH	LORD HOWE IS	NSW
MAI	MANILDRA	NSW
MAR	MARRAR	NSW
MEN	MENINDEE	NSW
MIO	MINTO	NSW
MON	MONAK	NSW
MRZ	MOREE	NSW
MOU	MOURQUONG	NSW
DGE	MUDGEE	NSW
MUR	MURWILLUMBAH 	NSW
NAA	NARRABRI	NSW
NRA	NARRANDERA	NSW
NRM	NARROMINE	NSW
NOA	NOWRA	NSW
OAG	ORANGE	NSW
PLW	PALLAMALLAWA	NSW
PRG	PARINGI	NSW
PKE	PARKES	NSW
PKB	PARKESBOURNE	NSW
PQQ	PORT MACQUARIE	NSW
UIR	QUIRINDI	NSW
SOM	SOMERSBY	NSW
SPT	STUARTS POINT	NSW
TAM	TAMWORTH	NSW
POC	THE POCKET	NSW
TCW	TOCUMWAL	NSW
TOO	TOOLEYBUC	NSW
TRN	TRANGIE	NSW
TBB	TUMBARUMBA	NSW
TUM	TUMUT	NSW
ULM	ULMARRA	NSW
WGA	WAGGA WAGGA	NSW
WAR	WARREN	NSW
WEW	WEE WAA	NSW
WCK	WERRIS CREEK	NSW
WIL	WILLOW TREE	NSW
WOL	WOLLONGONG	NSW
YNA	YENNORA	NSW
NGA	YOUNG	NSW
ASP	ALICE SPRINGS	NT 
DLY	DALY	NT 
DWR	DARWIN RIVER	NT 
HOW	HOWARD SPRINGS	NT 
HUD	HUMPTY DOO	NT 
KTR	KATHERINE	NT 
MAT	MATARANKA	NT 
PIN	PINELANDS	NT 
TCA	TENNANT CREEK	NT 
LUC	 LUCINDA	QLD
ALL	ALLORA	QLD
ATH	ATHERTON	QLD
AYR	AYR	QLD
BAN	BANYO	QLD
BEE	BEERWAH	QLD
BLO	BILOELA	QLD
ZBO	BOWEN	QLD
BKS	BROOKSTEAD	QLD
CAB	CABOOLTURE	QLD
CAL	CARDWELL	QLD
CAR	CAROLE PARK	QLD
CEP	CECIL PLAINS  	QLD
CTL	CHARLEVILLE	QLD
CHI	CHILDERS	QLD
COG	COOLANGATTA	QLD
COA	COORAN	QLD
COO	COOROY	QLD
DBY	DALBY	QLD
DML	DIMBULAH	QLD
EMD	EMERALD	QLD
FIS	FISHERMAN ISLAND	QLD
GAT	GATTON	QLD
GAH	GAYNDAH	QLD
GIR	GIRU	QLD
GLT	GLADSTONE	QLD
GHM	GLASSHOUSE MOUNTAINS	QLD
GOO	GOONDIWINDI	QLD
GOV	GOOVIGEN	QLD
GMU	GUMLU	QLD
GYP	GYMPIE	QLD
HVB	HERVEY BAY	QLD
IFL	INNISFAIL	QLD
KAL	KALBAR	QLD
KEN	KENILWORTH	QLD
KGY	KINGAROY	QLD
LKD	LAKELAND DOWNS	QLD
LIM	LIMESTONE CREEK 	QLD
MRG	MAREEBA	QLD
MBH	MARYBOROUGH	QLD
MWO	MEADOWBROOK 	QLD
MLE	MILLMERRAN	QLD
MOL	MOOLOOLAH 	QLD
MTY	MT TYSON	QLD
MUL	MULGOWIE	QLD
MUN	MUNDUBBERA	QLD
MRI	MURARRIE	QLD
NBR	NAMBOUR	QLD
OKY	OAKEY	QLD
PAL	PALMWOOD	QLD
PTW	PITTSWORTH	QLD
PBN	PORT OF BRISBANE 	QLD
RHA	RICHLANDS	QLD
RMA	ROMA	QLD
SGO	ST GEORGE	QLD
SNH	STANTHORPE	QLD
TOL	TOLGA	QLD
TWB	TOOWOOMBA	QLD
TSV	TOWNSVILLE	QLD
TUL	TULLY	QLD
WLL	WALLAVILLE	QLD
WAM	WAMURAN	QLD
WND	WANDOAN	QLD
WAZ	WARWICK	QLD
WAT	WATERFORD	QLD
WIP	WIVENHOE POCKET	QLD
WDI	WONDAI	QLD
WOY	WOOMBYE	QLD
WYN	WYNNUM	QLD
YAM	YAAMBA	QLD
YAN	YANDINA	QLD
ANG	ANGASTON	SA 
AVE	ANGLE VALE        	SA 
ASH	ASHTON	SA 
BLK	BALAKLAVA	SA 
BAR	BARMERA	SA 
BER	BERRI	SA 
BOB	BOOBOROWIE	SA 
BRD	BORDERTOWN	SA 
BHL	BOWHILL	SA 
BOW	BOWMANS	SA 
BPK	BROOKLYN PARK 	SA 
CHA	CHARLESTON	SA 
CNW	COONAWARRA 	SA 
DAV	DAVEYSTON	SA 
EYR	EYRE PENINSULA	SA 
FOR	FOREST RANGE	SA 
FRA	FRANCES	SA 
GAW	GAWLER	SA 
GRK	GREENOCK	SA 
GUM	GUMERACHA 	SA 
KAD	KADINA	SA 
KLO	KALANGADOO	SA 
KAP	KAPUNDA	SA 
KEI	KEITH	SA 
KER	KERSBROOK	SA 
KON	KONGAL	SA 
LAB	LARGS BAY	SA 
LEN	LENSWOOD	SA 
LOX	LOXTON	SA 
LUB	LUCKY BAY	SA 
MLN	MAITLAND	SA 
MLA	MALLALA	SA 
MAN	MANOORA	SA 
MLR	MILLICENT	SA 
MGB	MT GAMBIER	SA 
MNN	MUNNO PARA DOWNS	SA 
MUB	MURRAY BRIDGE   	SA 
MYP	MYPOLONGA	SA 
NAI	NAIRNE	SA 
NAC	NARACOORTE	SA 
NTH	NETHERTON	SA 
NOO	NURIOOTPA	SA 
ONK	ONKAPARINGA HILLS	SA 
OSB	OSBORNE	SA 
OUT	OUTER HARBOR	SA 
PAR	PARILLA	SA 
PAN	PARINGA             	SA 
PNF	PENFIELD	SA 
PEN	PENOLA	SA 
PNR	PINNAROO	SA 
PAE	PORT ADELAIDE	SA 
