ID Code,Code,Description,Is Default Ref Num
GAC,2001,Clothing and Textiles - Clothing and Textiles Shipment Specific Permit,N
GAC,2003,Agriculture Products - Agriculture Products - Shipment-Specific Permit,N
GAC,2004,Agriculture Products - Agriculture Products General Import Permit (GIP),N
GAC,2005,Generic - Documented Alternative Quantity,N
GAC,2006,Steel - General Import Permit,N
GAC,2007,Foreign Export Licence,N
NRCan,3001,Explosives - Annual Explosives Permit ( Type A),N
NRCan,3002,Explosives - Single Use Explosives Permit (Type G),N
NRCan,3003,Explosives - Tour Event or International Competition Explosives Permit,N
NRCan,3004,Rough Diamonds - Kimberley Process Certificate,N
TC,4001,Generic - Other Document,Y
TC,4002,Vehicles - Case-by-Case Authorization,N
TC,4003,Generic Manufacturer Letter of Compliance,Y
TC,4004,Generic - Vehicle Title,Y
TC,4005,Vehicles - Manufacturer Certificate of Origin,Y
TC,4006,Generic - Racing Sanctioning Body Letter,Y
HC,5001,Active Pharmaceutical Ingredients - Establishment Licence (EL),N
HC,5002,Blood and Blood Components - Establishment Licence (EL),N
HC,5003,Blood and Blood Components - Proof of Prescription,N
HC,5004,Cells  Tissues and Organs - Importer Establishment Registration,N
HC,5005,Cells  Tissues and Organs - Exporter Establishment Registration,N
HC,5006,Consumer Products - Cosmetics Product Number,N
HC,5007,Consumer Products Safety Standard Certification,Y
HC,5008,Donor Semen - Donor Semen or Ova Letter of Authorization (LOA),Y
HC,5009,Donor Semen - Semen or Ova Establishment Attestation,Y
HC,5010,Human Drugs - Establishment Licence (EL),N
HC,5011,Human Drugs Drug Identification (DI),N
HC,5012,Human Drugs - Letter of Authorization (LOA),N
HC,5013,Human Drugs - Clinical Trial No Objection Letter (CT NOL),N
HC,5014,Office of Controlled Substances - Precursor Authorization Certificate,N
HC,5015,Office of Controlled Substances - Test Kit Registration,N
HC,5016,Office of Controlled Substances - Class B Precursor Registration,N
HC,5017,Office of Controlled Substances - Marihuana for Medical Purposes Regulations Producer Licence,N
HC,5018,Office of Controlled Substances - Import Permit,N
HC,5019,Medical Devices - Medical Devices Licence,N
HC,5020,Medical Devices - Establishment Licence (EL),N
HC,5021,Medical Devices - Device Letter of Authorization (LOA)/Request,N
HC,5022,Natural Health Products - Site Licence,N
HC,5023,Natural Health Products - Natural Product Authorization,N
HC,5024,Natural Health Products - Homeopathic Medicine Drug Identification,N
HC,5025,Natural Health Products - NHP Notice of Authorization (NOA),N
HC,5026,Pesticides - PMRA Registration,N
HC,5027,Pesticides - Product Label,N
HC,5028,Pesticides - PMRA Research Authorization Certificate,N
HC,5029,Pesticides - PMRA Research Notification Certificate,N
HC,5030,Pesticides - GROU Import Certificate,N
HC,5031,Radiation Emitting Device - Product Label,N
HC,5032,Veterinary Drugs - Establishment Licence (EL),N
HC,5033,Veterinary Drugs - Veterinary Notification,N
HC,5034,Veterinary Drugs - Experimental Studies Certificate,N
HC,5035,Veterinary Drugs - Emergency Drug Release Authorization,N
HC,5036,Veterinary Drugs - Veterinary No Objection Letter (NOL),N
HC,5037,Consumer Products Product Label,Y
HC,5038,Consumer Products - Other,Y
HC,5039,Veterinary Drugs - Drug Identification (DI),N
HC,5040,Office of Controlled Substances - Class A Precursor Licence,N
HC,5041,Office of Controlled Substances - Industrial Hemp Licence,N
HC,5042,Office of Controlled Substances - Certificate of Analysis,N
HC,5043,Office of Controlled Substances - Research Licence,N
HC,5044,Office of Controlled Substances - Controlled Drugs and Substances Act Licence,N
HC,5045,Natural Health Products - Letter of Authorization (LOA),N
HC,5048,Donor Semen or Ova - Establishment Notification Form (FRM-0446),N
HC,5049,Donor Semen or Ova - Establishment Registration Number,N
DFO,6000,Aquatic Biotechnology - New Substances Notification,N
DFO,6001,Invasive Species - Federal Release/Transfer Licence,N
DFO,6002,Invasive Species - Alberta Fisheries Licence,N
DFO,6003,Trade Tracking - Atlantic Bluefin Tuna Catch Document (ICCAT),N
DFO,6004,Trade Tracking - Patagonian Toothfish (Dissostichus) Catch Document (CCAMLR),N
DFO,6005,Trade Tracking Pacific Bluefin Tuna Catch Document (WCPFC or IATTC),N
DFO,6006,Trade Tracking - Swordfish Statistical Document (ICCAT),N
DFO,6007,Trade Tracking - Swordfish Re-export Certificate (ICCAT),N
DFO,6008,Trade Tracking - Bigeye Tuna Statistical Document (ICCAT or IATTC),N
DFO,6009,Trade Tracking - Bigeye Tuna Re-export Certificate (ICCAT),N
DFO,6010,Invasive Species - British Columbia Freshwater Fish Licence,N
DFO,6011,Invasive Species - Manitoba Fish Licence,N
DFO,6012,Invasive Species - Manitoba Fisheries Licence,N
DFO,6013,Invasive Species - Newfoundland/ Labrador Wildlife Licence,N
DFO,6014,Invasive Species - Ontario Fish Licence,N
DFO,6015,Invasive Species - Ontario Fisheries Licence,N
DFO,6016,Invasive Species - Quebec Fisheries Licence,N
DFO,6017,Invasive Species - Saskatchewan Fish Licence,N
DFO,6018,Invasive Species - Saskatchewan Fisheries Licence,N
DFO,6019,Invasive Species Canada National Parks Fishing Licence,N
DFO,6020,Trade Tracking Atlantic Bluefin Tuna Re-Export Document (ICCAT),N
DFO,6021,Pacific Bluefin Tuna Re-Export Document (WCPFC or IATTC),N
DFO,6022,eBCD Bluefin Catch Document (ICCAT),N
DFO,6023,eBCD Bluefin Re-Export Document (ICCAT),N
ECCC,8000,Waste Reduction and Management - Movement Type,N
ECCC,8001,Waste Reduction and Management - Hazardous Waste/Hazardous Recyclable (HW/HRM) Permit,N
ECCC,8010,OLPEC Permit,N
ECCC,8011,OLPEC Allowance,N
ECCC,8012,OLPEC Allowance Transfer,N
ECCC,8020,CITES Appendix I,N
ECCC,8021,CITES Appendix II,N
ECCC,8022,CITES Appendix III,N
ECCC,8023,WAPTR Schedule II Species,N
ECCC,8030,Manufacturer Statement,N
ECCC,8031,Importer Statement,N
PHAC,5503,Pathogen and Toxin Licence,N
CNSC,7000,Import Program - Licence,N
CNSC,7001,Import Program - Device Certificate,N
GAC,80,Carbon steel,N
GAC,81,Specialty Steel Products,N
GAC,83,Aluminum Products,N
