TariffCode,ConditionType,ConditionValueType,PGAValue,PGACValue
7601100020,PGA,GAC,ALL,GIP83
7601100090,PGA,GAC,ALL,GIP83
7601200010,PGA,GAC,ALL,GIP83
7601200021,PGA,GAC,ALL,GIP83
7601200029,PGA,GAC,ALL,GIP83
7601200090,PGA,GAC,ALL,GIP83
7604100030,PGA,GAC,ALL,GIP83
7604100040,PGA,GAC,ALL,GIP83
7604210010,PGA,GAC,ALL,GIP83
7604210090,PGA,GAC,ALL,GIP83
7604290011,PGA,GAC,ALL,GIP83
7604290019,PGA,GAC,ALL,GIP83
7604290021,PGA,GAC,ALL,GIP83
7604290029,PGA,GAC,ALL,GIP83
7604290030,PGA,GAC,ALL,GIP83
7605110000,PGA,GAC,ALL,GIP83
7605190000,PGA,GAC,ALL,GIP83
7605210000,PGA,GAC,ALL,GIP83
7605290000,PGA,GAC,ALL,GIP83
7606110010,PGA,GAC,ALL,GIP83
7606110090,PGA,GAC,ALL,GIP83
7606120011,PGA,GAC,ALL,GIP83
7606120012,PGA,GAC,ALL,GIP83
7606120020,PGA,GAC,ALL,GIP83
7606910010,PGA,GAC,ALL,GIP83
7606910090,PGA,GAC,ALL,GIP83
7606920000,PGA,GAC,ALL,GIP83
7607110010,PGA,GAC,ALL,GIP83
7607110020,PGA,GAC,ALL,GIP83
7607110030,PGA,GAC,ALL,GIP83
7607190000,PGA,GAC,ALL,GIP83
7607200010,PGA,GAC,ALL,GIP83
7607200090,PGA,GAC,ALL,GIP83
7608100010,PGA,GAC,ALL,GIP83
7608100090,PGA,GAC,ALL,GIP83
7608200000,PGA,GAC,ALL,GIP83
7609000000,PGA,GAC,ALL,GIP83
7616999021,PGA,GAC,ALL,GIP83
7616999029,PGA,GAC,ALL,GIP83
7616999030,PGA,GAC,ALL,GIP83
