Tariff Treatment Category,Abbreviation,TT code
Most-Favoured-Nation,MFN,02
General Tariff,GT,03
Australia Tariff,AUT,04
New Zealand Tariff,NZT,05
Commonwealth Caribbean Countries Tariff,CCCT,07
Least Developed Countries Tariff,LDCT,08
General Preferential Tariff,GPT,09
United States Tariff,UST,10
Mexico Tariff,MXT,11
Canada-Israel Agreement Tariff,CIAT,13
Chile Tariff,CT,14
Costa Rica Tariff,CRT,21
Iceland Tariff,IT,22
Norway Tariff,NT,23
Switzerland-Lichtenstein Tariff,SLT,24
Peru Tariff,PT,25
Colombia Tariff,COLT,26
Jordan Tariff,JT,27
Panama Tariff,PAT,28
Honduras Tariff,HNT,29
Korea Tariff,KRT,30
European Union Tariff,CEUT,31
Ukraine Tariff,UAT,32
Comprehensive and Progressive Trans-Pacific Partnership Tariff,CPTPT,33
United Kingdom Tariff,UKT,34
