TariffCode,AttributeName,AttributeValue
3005101000,COMMODITYTYPE,MED
3005109000,COMMODITYTYPE,MED
3005901000,COMMODITYTYPE,MED
3005909000,COMMODITYTYPE,MED
3006700000,COMMODITYTYPE,MED
4014900000,COMMODITYTYPE,MED
4015901000,COMMODITYTYPE,MED
4818900000,COMMODITYTYPE,MED
5208210060,COMMODITYTYPE,MED
8419200000,COMMODITYTYPE,MED
9018110000,COMMODITYTYPE,MED
9018121000,COMMODITYTYPE,MED
9018129110,COMMODITYTYPE,MED
9018129190,COMMODITYTYPE,MED
9018129900,COMMODITYTYPE,MED
9018131000,COMMODITYTYPE,MED
9018139000,COMMODITYTYPE,MED
9018140000,COMMODITYTYPE,MED
9018193010,COMMODITYTYPE,MED
9018193090,COMMODITYTYPE,MED
9018194100,COMMODITYTYPE,MED
9018194900,COMMODITYTYPE,MED
9018199000,COMMODITYTYPE,MED
9018200000,COMMODITYTYPE,MED
9018310000,COMMODITYTYPE,MED
9018321000,COMMODITYTYPE,MED
9018322000,COMMODITYTYPE,MED
9018390000,COMMODITYTYPE,MED
9018410000,COMMODITYTYPE,MED
9018491000,COMMODITYTYPE,MED
9018499000,COMMODITYTYPE,MED
9018500000,COMMODITYTYPE,MED
9018901000,COMMODITYTYPE,MED
9018902010,COMMODITYTYPE,MED
9018902090,COMMODITYTYPE,MED
9018903010,COMMODITYTYPE,MED
9018903090,COMMODITYTYPE,MED
9018904000,COMMODITYTYPE,MED
9018905000,COMMODITYTYPE,MED
9018906000,COMMODITYTYPE,MED
9018907010,COMMODITYTYPE,MED
9018907090,COMMODITYTYPE,MED
9018909100,COMMODITYTYPE,MED
9018909911,COMMODITYTYPE,MED
9018909919,COMMODITYTYPE,MED
9018909991,COMMODITYTYPE,MED
9018909999,COMMODITYTYPE,MED
9019101000,COMMODITYTYPE,MED
9019109000,COMMODITYTYPE,MED
9019200000,COMMODITYTYPE,MED
9020000000,COMMODITYTYPE,MED
9021100000,COMMODITYTYPE,MED
9021210000,COMMODITYTYPE,MED
9021290000,COMMODITYTYPE,MED
9021310000,COMMODITYTYPE,MED
9021390000,COMMODITYTYPE,MED
9021400000,COMMODITYTYPE,MED
9021500000,COMMODITYTYPE,MED
9021901100,COMMODITYTYPE,MED
9021901900,COMMODITYTYPE,MED
9021909010,COMMODITYTYPE,MED
9021909090,COMMODITYTYPE,MED
9022120000,COMMODITYTYPE,MED
9022130000,COMMODITYTYPE,MED
9022140010,COMMODITYTYPE,MED
9022140090,COMMODITYTYPE,MED
9022210000,COMMODITYTYPE,MED
84143014,COMMODITYTYPE,CFCS
84143015,COMMODITYTYPE,CFCS
8415812001,COMMODITYTYPE,CFCS
8415812090,COMMODITYTYPE,CFCS
8415822001,COMMODITYTYPE,CFCS
8415822090,COMMODITYTYPE,CFCS
84183010,COMMODITYTYPE,CFCS
84184010,COMMODITYTYPE,CFCS
8419409090,COMMODITYTYPE,UME
8419609010,COMMODITYTYPE,UME
8454309000,COMMODITYTYPE,UME
8426200000,COMMODITYTYPE,UME
8426411000,COMMODITYTYPE,UME
8426419000,COMMODITYTYPE,UME
8426491000,COMMODITYTYPE,UME
8426499000,COMMODITYTYPE,UME
8426990000,COMMODITYTYPE,UME
8427209000,COMMODITYTYPE,UME
8427900000,COMMODITYTYPE,UME
8428109000,COMMODITYTYPE,UME
8426193000,COMMODITYTYPE,UME
8426194100,COMMODITYTYPE,UME
8426194200,COMMODITYTYPE,UME
8427101000,COMMODITYTYPE,UME
8427102000,COMMODITYTYPE,UME
8428602100,COMMODITYTYPE,UME
8439100000,COMMODITYTYPE,UME
8439200000,COMMODITYTYPE,UME
8439300000,COMMODITYTYPE,UME
8501641090,COMMODITYTYPE,UME
8501642010,COMMODITYTYPE,UME
8501642090,COMMODITYTYPE,UME
8501643010,COMMODITYTYPE,UME
8501643090,COMMODITYTYPE,UME
8502120000,COMMODITYTYPE,UME
8502131000,COMMODITYTYPE,UME
8502132000,COMMODITYTYPE,UME
8502200000,COMMODITYTYPE,UME
8502390010,COMMODITYTYPE,UME
8515319100,COMMODITYTYPE,UME
8515319900,COMMODITYTYPE,UME
8515390000,COMMODITYTYPE,UME
8515809010,COMMODITYTYPE,UME
8515809090,COMMODITYTYPE,UME
8419810000,COMMODITYTYPE,UME
