ZZD_Code;ZZD_Description;ZZD_StartDate;ZZD_EndDate;ZZD_National_Value;ZZD_UE_Value
C624;Form 302;01-01-2019;31-12-2099;Y;N
C625;Rhine Manifest;01-01-2019;31-12-2099;Y;N
C664;CN22 declaration according to Article 237 of the Regulation (ECC) No 2454/93;01-01-2019;31-12-2099;Y;N
C665;CN23 declaration according to Article 237 of the Regulation (ECC) No 2454/93;01-01-2019;31-12-2099;Y;N
N703;House waybill;01-01-2019;31-12-2099;Y;N
N704;Master bill of lading;01-01-2019;31-12-2099;Y;N
N705;Bill of lading;01-01-2019;31-12-2099;Y;N
N714;House bill of lading;01-01-2019;31-12-2099;Y;N
N720;Consignment note CIM;01-01-2019;31-12-2099;Y;N
N722;Road list - SMGS;01-01-2019;31-12-2099;Y;N
N730;Road consignment note;01-01-2019;31-12-2099;Y;N
N740;Air waybill;01-01-2019;31-12-2099;Y;N
N741;Master airwaybill;01-01-2019;31-12-2099;Y;N
N750;Movement by post including parcel post;01-01-2019;31-12-2099;Y;N
N760;Multimodal / combined transport document;01-01-2019;31-12-2099;Y;N
235;Lista de contenedores;01-01-2019;31-12-2099;N;Y
270;Albarán;01-01-2019;31-12-2099;N;Y
271;Lista de envases;01-01-2019;31-12-2099;N;Y
325;Factura proforma;01-01-2019;31-12-2099;N;Y
337;DSDT – Declaración Sumaria de Depósito Temporal;01-01-2019;31-12-2099;Y;Y
355;ENS – Declaración Sumaria de Entrada;01-01-2019;31-12-2099;N;Y
380;Factura comercial;01-01-2019;31-12-2099;N;Y
703;House waybill;01-01-2019;31-12-2099;N;Y
704;Master bill of lading (conocimiento de embarque principal);01-01-2019;31-12-2099;N;Y
705;Bill of lading (conocimiento);01-01-2019;31-12-2099;N;Y
714;House bill of lading (conocimiento emitido por un transitario);01-01-2019;31-12-2099;N;Y
720;Carta de porte para transporte por ferrocarril;01-01-2019;31-12-2099;N;Y
730;Carta de porte para transporte por carretera;01-01-2019;31-12-2099;N;Y
740;Air waybill (conocimiento aéreo);01-01-2019;31-12-2099;N;Y
741;Master air waybill (conocimiento aéreo principal);01-01-2019;31-12-2099;N;Y
750;Boletín de expedición (paquetes postales);01-01-2019;31-12-2099;N;Y
760;Documento de transporte multimodal/combinado;01-01-2019;31-12-2099;N;Y
785;Manifiesto de carga;01-01-2019;31-12-2099;N;Y
787;Bordereau;01-01-2019;31-12-2099;N;Y
820;Declaración de tránsito común/de la Unión –envíos compuestos (T);01-01-2019;31-12-2099;N;Y
821;Declaración de tránsito común/de la Unión externo (T1);01-01-2019;31-12-2099;N;Y
822;Declaración de tránsito común/de la Unión interno (T2);01-01-2019;31-12-2099;N;Y
823;Documento de control T5;01-01-2019;31-12-2099;N;Y
825;Prueba del estatuto aduanero de mercancías de la Unión T2L;01-01-2019;31-12-2099;N;Y
952;Cuaderno TIR;01-01-2019;31-12-2099;N;Y
955;Cuaderno ATA;01-01-2019;31-12-2099;N;Y
CLE;Referencia/fecha de la inscripción en los registros del declarante;01-01-2019;31-12-2099;N;Y
IF3;Ficha de información INF3;01-01-2019;31-12-2099;N;Y
MNS;Manifiesto de carga — procedimiento simplificado;01-01-2019;31-12-2099;N;Y
MRN;Declaración/notificación MRN;01-01-2019;31-12-2099;N;Y
T2F;Declaración de tránsito interno de la Unión — artículo 227 del Código;01-01-2019;31-12-2099;N;Y
T2G;Prueba del estatuto aduanero de mercancías de la Unión T2LF;01-01-2019;31-12-2099;N;Y
T2M;Prueba T2M;01-01-2019;31-12-2099;N;Y
SDE;Declaración simplificada;01-01-2019;31-12-2099;N;Y
ZZZ;Otros;01-01-2019;31-12-2099;N;Y
