,X1,X101,Light Oil - Petrol,Light Oil,Petrol,
,X1,X102,Light Oil - Aviation gasoline,Light Oil,Aviation gasoline,
,X1,X103,Heavy Oil - Used as a propellant,Heavy Oil,Used as a propellant,
,X1,X104,Heavy Oil - Used for air navigation,Heavy Oil,Used for air navigation,
,X1,X105,Heavy Oil - Used for private pleasure navigation,Heavy Oil,Used for private pleasure navigation,
,X1,X106,Heavy Oil - Kerosene used other than as a propellant,Heavy Oil,Kerosene used other than as a propellant,
,X1,X107,Heavy Oil - Fuel Oil used for purposes other than generating electricity,Heavy Oil,Fuel oil,
,X1,X108,Heavy Oil - Fuel Oil used for purposes of generating electricity,Heavy Oil,Fuel oil,
,X1,X109,Heavy Oil - Other Heavy Oil including Marked Gas Oil,Heavy Oil,Other heavy oil (including MGO),
,X1,X110,Liquefied Petroleum Gas - Used as a propellant,Liquified Petroleum Gas,Used as a propellant,
,X1,X111,Liquefied Petroleum Gas - Other LPG,Liquified Petroleum Gas,Other liquefied petroleum gas,
,X1,X112,Substitute Fuel - Used as a propellant instead of petrol,Substitute Fuel,Used as a propellant instead of petrol,
,X1,X113,Substitute Fuel - Used as a propellant instead of diesel,Substitute Fuel,Used as a propellant instead of diesel,
,X1,X114,Substitute Fuel - Used for other than as a propellant,Substitute Fuel,Used other than as a propellant,
constant,X1,X115,Mineral Oil Tax - Other,,,0
ignore,,,,Vehicle Gas,Measured at Gross Calorific Value,
ignore,,,,Vehicle Gas,Measured at Net Calorific Value,
,X2,X201,Cigars,Cigars,,
,X2,X202,Other smoking Tobacco,Other smoking tobacco,,
,X2,X203,Cigarettes containin tobaco,Cigarettes,(a),
constant,X2,X204,Cigarettes containin tobaco,,,0
,X2,X205,Cigarettes containing cloves,Cigarettes,(b),
,X2,X206,Other manufactured tobacco,Fine-cut tobacco for the rolling of cigarettes,,
constant,X2,X207,Other manufactured tobacco,,,0
,X3,X301,Brandy,Spirits,,
,X3,X302,Gin,Spirits,,
,X3,X303,Rum,Spirits,,
,X3,X304,Whiskey,Spirits,,
,X3,X305,Vodka,Spirits,,
,X3,X306,Spirits exceeding 5.5% alcohol by volume,Spirits,,
,X3,X307,Spirits not exceeding 5.5% alcohol by volume,Spirits,,
,X3,X308,Beer - All Other Beer exceeding1.2%vol but not exceeding 2.8% vol,Beer,Exceeding 1.2% volume but not exceeding 2.8% volume,
,X3,X309,Beer - All Other Beer exceeding 2.8% vol,Beer,Exceeding 2.8% volume,
,X3,X350,"Wine - Still and Sparkling, not exceeding 5.5% vol",Wine,"Still and sparkling, not exceeding 5.5% volume",
,X3,X351,Wine - Still exceeding 5.5% vol. but not exceeding 15% vol,Wine,"Still exceeding 5.5% vol. but not exceeding 15% vol",
,X3,X352,Wine - Still exceeding 15% vol,Wine,"Still, exceeding 15% volume",
,X3,X353,Wine - Sparkling exceeding 5.5% vol,Wine,"Sparkling, exceeding 5.5% volume",
,X3,X354,"Cider and Perry - Still & Sparkling, not exceeding 2.8% vol","Other fermented beverages:

(1) Cider and perry","Still and sparkling, not exceeding 2.8% volume",
,X3,X355,"Cider and Perry - Still and Sparkling, exceeding 2.8% but not exceeding 6.0% vol","Other fermented beverages:

(1) Cider and perry","Still and sparkling, exceeding 2.8% volume but not exceeding 6% volume",
,X3,X356,Cider and Perry - Still and Sparkling exceeding 6 % vol. but not exceeding 8.5 % vol,"Other fermented beverages:

(1) Cider and perry","Still and sparkling, exceeding 6.0% volume but not exceeding 8.5% volume",
,X3,X357,Cider and Perry - Still exceeding 8.5% vol,"Other fermented beverages:

(1) Cider and perry","Still, exceeding 8.5% volume",
,X3,X358,Cider and Perry - Sparkling exceeding 8. 5 % vol,"Other fermented beverages:

(1) Cider and perry","Sparkling, exceeding 8.5% volume",
,X3,X359,"Other Fermented Beverages - Still and Sparkling, not exceeding 5.5 % vol","Other fermented beverages:
  
(2) Other than cider and perry","Still and sparkling, not exceeding 5.5% volume",
,X3,X360,Other Fermented Beverages - Still exceeding 5.5 % vol.,"Other fermented beverages:
  
(2) Other than cider and perry","Still, exceeding 5.5% volume",
