Plants etc.,PLQ
Animals and livestock products,AVI
Guns and swords,ARM
Narcotics,NRC
"Dangerous goods Type 1 Explosives (Class 1.1, 1.2, 1.3, 1.4F, 1.5, 1.6)",REX
Dangerous goods Type 1 Explosives (Class 1.4B),RXB
Dangerous goods Type 1 Explosives (Class 1.4C),RXC
Dangerous goods Type 1 Explosives (Class 1.4D),RXD
Dangerous goods Type 1 Explosives (Class 1.4E),RXE
Dangerous goods Type 1 Explosives (Class 1.4G),RXG
Dangerous goods Type 1 Explosives (Class 1.4S),RXS
Dangerous goods Type 2 Flammable gas (Class 2.1),RFG
Dangerous goods Type 2 non-flammable gas (Class 2.2),RNG
Dangerous goods Type 2 Toxic gas (Class 2.3),RPG
Dangerous goods Type 3 Pyrophoric liquid,RFL
"Dangeroud good Type 4 Combustible solids, self-reactive substances and desensitized explosives (Class 4.1)",RFS
Dangeroud good Type 4 Dangerous goods Type 3 Pyrophoric liquid (Class 4.2),RSC
Dangerous goods Type 4 Substances that generate flammable gas when in contact with water (Class 4.3),RFW
Dangerous goods Type 5 Acidifying substances (Class 5.1),ROX
Dangerous goods Type 5 Organic peracids (Class 5.2),ROP
Dangerous goods Type 6 Toxic materials (Class 5.3),RPB
Isolated from food,RHF
Dangerous goods Type 6 Substances that easily transmit disease (Class 6.2),RIS
Radioactive material Type 1,RRA
Dangerous goods Type 7 Radioactive material (Category 1),RRW
"Dangerous goods Type 7 Radioactive material (Category 2, 3)",RRY
Dangerous goods Type 8 Corrosive material,RCM
Dangerous goods Type 9 Other hazardous items,RMD
Dangerous goods Type 9 Other hazardous items (magnetic substances),MAG
Valuables,VAL
Unaccompanied baggages,UBG
Goods subject to Article 69-2 and 11 of the Customs Law,POR
"Cargo for diplomats, etc. (including captain consignment)",DIP
"Aircraft parts, etc. (urgent)",AOG
Cargo attached to an air waybill,ATT
Birds,AVB
Tropical fish,AVF
Chicken chick,AVX
Air waybill,AWB
Oversized cargo,BIG
Per pallet/container unit charge,BUC
Consolidated cargo pre-loaded pallet,BUP
Freighter only,CAO
Courier service,COU
Hazardous material,DGR
Cargo size,DIM
Cargo delivery,DLV
Damaged cargo,DMG
Diplomatic cargo,DOP
Door-to-door cargo,DTD
Groceries,EAT
Lithium-ion batteries transported as non-dangerous goods,ELI
Lithium metal batteries transported as non-dangerous goods,ELM
"Undeveloped film, etc.",FIL
Split loading (first flight),FPS
Perishable,FRC
G B L,GBL
"Guns, etc.",GUN
Air waybill (consolidated cargo),HAW
Heavy cargo (more than 150 kg),HEA
Eggs for hatching,HEG
Helicopter,HEL
Hold cargo,HLD
Corpse,HUM
Hazardous material Class 9 Other hazardous materials (dry ice),ICE
Igloo,IGL
Flight essentials (emergency),IOR
"Newspapers, etc.",JNX
Cargo loading,LDG
"Transplant human organs, etc.",LHO
Split loading (last flight),LPS
Diplomatic mail of the French Ministry of Foreign Affairs,MAE
Pharmaceuticals (emergency),MED
Manifest,MFT
"Aircraft parts, etc. (urgent)",MMM
Munitions,MUW
"News manuscripts, etc.",NES
"Newspapers, etc.",NWP
Overhang cargo,OHG
Equipment (general),ORD
Other dangerous goods,ORM
Oversize cargo,OSC
Other information,OSI
Fresh food (perishable items),PER
Palette,PLT
Main deck pallet,PMD
"Report manuscripts, etc.",PRS
Dangerous goods Class 2 Cooling liquefied gas (Division 2.2),RCL
Hazardous materials Class 1 Explosives (Classification 1.3C),RCX
"Cargo requiring refrigeration, etc.",RFC
"Cargo requiring refrigeration, etc.",RFZ
Hazardous materials Category 1 Explosives (Category 1.3G),RGX
Hazardous materials Class 9 Other hazardous materials (lithium ion batteries),RLI
Hazardous materials Class 9 Other hazardous materials (lithium metal batteries),RLM
Radioactive material Class 2,RRB
Radioactive material Class 3,RRC
Hazardous materials Class 9 Other hazardous materials (polymeric beads),RSB
Transshipment cargo (with a short connecting flight),SCC
Super heavy cargo,SHC
"Semi-valuables, etc.",SMI
Split loading (2nd flight),SPS
SR - Limited express cargo,SPX
Unloaded cargo,SSP
Swords,SWD
Transit cargo,TRU
Unit mount,ULD
Transshipment cargo (urgent),UML
Equipment (emergency),URG
VIC Freight,VIC
Fragile,VUG
"Semi-valuables, etc.",VUN
"(Excluding dangerous goods and those treated as animals) Cargo itself is a liquid, cargo that emits liquid, and cargo that is packed with liquid",WET
