TariffCode,Description,RateFormula,UOM,Currency
1.051,Televizyon - 51 Ekrana kadar (51 dahil),10*[BI],BI,EUR
1.052,Televizyon - 52 Ekran-67 Ekran arası (67 dahil),16*[BI],BI,EUR
1.068,Televizyon - 68 Ekran-85 Ekran arası (85 dahil),22*[BI],BI,EUR
1.086,Televizyon - 86 Ekran-116 Ekran arası (116 dahil),34*[BI],BI,EUR
1.117,Televizyon - 117 Ekran-148 Ekran arası (148 dahil),40*[BI],BI,EUR
1.148,Televizyon - 148 Ekrandan yukarısı,80*[BI],BI,EUR
1.2,Oto Televizyonu,8*[BI],BI,EUR
2.1,Cep tipi radyo alıcıları,1*[BI],BI,EUR
2.2,"Saatli radyo ve radyolu saatler, bir müzik aleti (elektronik org gibi) üzerindeki radyolar, oyuncaklar üzerindeki radyolar, ışıldaklar ve radyolu vantilatörler",1*[BI],BI,EUR
2.3,Oto radyo alıcıları,1*[BI],BI,EUR
2.4,Taşınabilir radyo alıcıları,2*[BI],BI,EUR
3,Videolar,18*[BI],BI,EUR
4,Set Üstü Medya Kutuları (Set Top Box) ile her türlü uydu alıcı cihazları,7*[BI],BI,EUR
5.a.1,Televizyon-Radyo,9*[BI],BI,EUR
5.a.2,Televizyon -Radyo-Teyp,13*[BI],BI,EUR
5.a.3,Televizyon-Video,19*[BI],BI,EUR
5.a.4,Televizyon-Radyo-Video,21*[BI],BI,EUR
5.b.01,Cep tipi radyo kasetçalar (radyo - walkman),1*[BI],BI,EUR
5.b.02,Taşınabilir (pilli) radyo - pikap,3*[BI],BI,EUR
5.b.03,Taşınabilir (pilli) radyo-kasetçalar,3*[BI],BI,EUR
5.b.04,Oto Radyo-Kasetçalar,3*[BI],BI,EUR
5.b.05,Oto Radyo-Kompakdiskçalar,4*[BI],BI,EUR
5.b.06,Taşınabilir (pilli) Radyo-Kompakdiskçalar,4*[BI],BI,EUR
5.b.07,Radyo-Kasetçalar,5*[BI],BI,EUR
5.b.08,Radyo-Kompakdiskçalar,7*[BI],BI,EUR
5.b.09,Radyo-Pikap,7*[BI],BI,EUR
5.b.10,Radyo-Kasetçalar-Pikap,14*[BI],BI,EUR
5.b.11,Radyo-Kasetçalar-Pikap- Komıpakdiskçalar,18*[BI],BI,EUR
5.b.12,Radyo-Kasetçalar-Kompakdiskçalar,18*[BI],BI,EUR
6.1,Cep Tipi Radyolu Mp3-Mp4 Çalar ve Benzerleri,2*[BI],BI,EUR
6.2,Radyo ve/veya TV'li navigasyon cihazları,7*[BI],BI,EUR
6.3,Radyo ve/veya TV'li DVD-VCD player ve benzerleri,15*[BI],BI,EUR
6.4,Radyo ve/veya TV'li ev sinema sistemleri,15*[BI],BI,EUR
6.5,Taşıtlarda kullanılmaya mahsus navigasyonlu multimedya cihazları,10*[BI],BI,EUR
7,Cep Telefonları,20*[BI],BI,EUR
8,Bilgisayarlar ve Tablet Bilgisayarlar,10*[BI],BI,EUR
9,Yukarıda sayılan cihazlar dışında kalan her türlü cihazlar,18*[BI],BI,EUR
