TariffCode,AdditionalCode,Description,Percent,Formula
3922.10.00.00.11,,BANYO KÜVETLERI,8,VFD *  0.08
3922.10.00.00.12,,DUŞ TEKNELERI,8,VFD *  0.08
6910.10.00.00.00,,Porselenden olanlar,8,VFD *  0.08
6910.90.00.00.00,,Diğerleri,8,VFD *  0.08
8601.10.00.00.00,,Elektrik enerjisini dışarıdan alanlar,0.01,VFD *  0.0001
8601.20.00.00.00,,Elektrik akümülatörlü olanlar,0.01,VFD *  0.0001
8602.10.00.00.00,,Dizel elektrikli lokomotifler,0.01,VFD *  0.0001
8602.90.00.00.11,,Dizel motorlu lokomotifler,0.01,VFD *  0.0001
8602.90.00.00.12,,Buharlı lokomotifler,0.01,VFD *  0.0001
8602.90.00.00.13,,Tenderler,0.01,VFD *  0.0001
8602.90.00.00.19,,Diğerleri,0.01,VFD *  0.0001
8701.10.00.00.00,,Tek akslı traktörler,0.4,VFD *  0.004
8701.20.10.00.00,,Yeni olanlar,0.4,VFD *  0.004
8701.20.90.00.00,,Kullanılmış olanlar,0.4,VFD *  0.004
8701.30.00.00.00,,Paletli traktörler,0.4,VFD *  0.004
8701.91.10.00.00,,Tekerlekli zirai traktörler ve ormancılıkta kullanılan tekerlekli traktörler,0.4,VFD *  0.004
8701.91.90.00.00,,Diğerleri,0.4,VFD *  0.004
8701.92.10.00.00,,Tekerlekli zirai traktörler ve ormancılıkta kullanılan tekerlekli traktörler,0.4,VFD *  0.004
8701.92.90.00.00,,Diğerleri,0.4,VFD *  0.004
8701.93.10.00.00,,Tekerlekli zirai traktörler ve ormancılıkta kullanılan tekerlekli traktörler,0.4,VFD *  0.004
8701.93.90.00.00,,Diğerleri,0.4,VFD *  0.004
8701.94.10.00.00,,Tekerlekli zirai traktörler ve ormancılıkta kullanılan tekerlekli traktörler,0.4,VFD *  0.004
8701.94.90.00.00,,Diğerleri,0.4,VFD *  0.004
8701.95.10.00.00,,Tekerlekli zirai traktörler ve ormancılıkta kullanılan tekerlekli traktörler,0.4,VFD *  0.004
8701.95.90.00.00,,Diğerleri,0.4,VFD *  0.004
8702.10.11.11.00,,Otobüs,0.4,VFD *  0.004
8702.10.11.12.00,,Midibüs,0.4,VFD *  0.004
8702.10.11.13.00,,Minibüs,0.4,VFD *  0.004
8702.10.19.11.00,,Otobüs,0.4,VFD *  0.004
8702.10.19.12.00,,Midibüs,0.4,VFD *  0.004
8702.10.19.13.00,,Minibüs,0.4,VFD *  0.004
8702.10.91.11.00,,Otobüs,0.4,VFD *  0.004
8702.10.91.12.00,,Midibüs,0.4,VFD *  0.004
8702.10.91.13.00,,Minibüs,0.4,VFD *  0.004
8702.10.99.11.00,,Otobüs,0.4,VFD *  0.004
8702.10.99.12.00,,Midibüs,0.4,VFD *  0.004
8702.10.99.13.00,,Minibüs,0.4,VFD *  0.004
8702.20.10.00.00,,Silindir hacmi 2500 cm3.ü geçenler,0.4,VFD *  0.004
8702.20.90.00.00,,Silindir hacmi 2500 cm3.ü geçmeyenler,0.4,VFD *  0.004
8702.30.10.00.00,,Silindir hacmi 2800 cm3.ü geçenler,0.4,VFD *  0.004
8702.30.90.00.00,,Silindir hacmi 2800 cm3.ü geçmeyenler,0.4,VFD *  0.004
8702.40.00.00.00,,Sadece elektrik motorundan tahrikli olanlar,0.4,VFD *  0.004
8702.90.11.11.00,,Otobüs,0.4,VFD *  0.004
8702.90.11.12.00,,Midibüs,0.4,VFD *  0.004
8702.90.11.13.00,,Minibüs,0.4,VFD *  0.004
8702.90.19.11.00,,Otobüs,0.4,VFD *  0.004
8702.90.19.12.00,,Midibüs,0.4,VFD *  0.004
8702.90.19.13.00,,Minibüs,0.4,VFD *  0.004
8702.90.31.11.00,,Otobüs,0.4,VFD *  0.004
8702.90.31.12.00,,Midibüs,0.4,VFD *  0.004
8702.90.31.13.00,,Minibüs,0.4,VFD *  0.004
8702.90.39.11.00,,Otobüs,0.4,VFD *  0.004
8702.90.39.12.00,,Midibüs,0.4,VFD *  0.004
8702.90.39.13.00,,Minibüs,0.4,VFD *  0.004
8702.90.90.00.00,,Diğer motorlarla mücehhez olanlar,0.4,VFD *  0.004
8703.10.11.00.00,,Özellikle kar üzerinde hareket etmek için dizayn edilmiş sıkıştırma ateşlemeli içten yanmalı pistonlu motorlu olanlar (dizel veya yarı dizel) veya kıvılcım ateşlemeli içten yanmalı pistonlu motorlu taşıtlar,0.4,VFD *  0.004
8703.10.18.00.00,,Diğerleri,0.4,VFD *  0.004
8703.21.10.10.00,,Binek otomobilleri,0.4,VFD *  0.004
8703.21.10.90.11,,Ambulanslar,0.4,VFD *  0.004
8703.21.10.90.19,,Diğerleri,0.4,VFD *  0.004
8703.21.90.10.00,,Binek otomobilleri,0.4,VFD *  0.004
8703.21.90.90.11,,Ambulanslar,0.4,VFD *  0.004
8703.21.90.90.19,,Diğerleri,0.4,VFD *  0.004
8703.22.10.10.00,,Binek otomobilleri,0.4,VFD *  0.004
8703.22.10.90.11,,Ambulanslar,0.4,VFD *  0.004
8703.22.10.90.12,,Motorlu karavanlar,0.4,VFD *  0.004
8703.22.10.90.19,,Diğerleri,0.4,VFD *  0.004
8703.22.90.10.00,,Binek otomobilleri,0.4,VFD *  0.004
8703.22.90.90.11,,Ambulanslar,0.4,VFD *  0.004
8703.22.90.90.12,,Motorlu karavanlar,0.4,VFD *  0.004
8703.22.90.90.19,,Diğerleri,0.4,VFD *  0.004
8703.23.11.00.00,,Motorlu karavanlar,0.4,VFD *  0.004
8703.23.19.11.00,,Silindir hacmi 1500 cm3' ü geçen fakat 1600 cm3. ü geçmeyenler,0.4,VFD *  0.004
8703.23.19.12.00,,Silindir hacmi 1600 cm3' ü geçen fakat 2000 cm3' ü geçmeyenler,0.4,VFD *  0.004
8703.23.19.13.00,,Silindir hacmi 2000 cm3' ü geçenler,0.4,VFD *  0.004
8703.23.19.90.11,,Ambulanslar,0.4,VFD *  0.004
8703.23.19.90.19,,Diğerleri,0.4,VFD *  0.004
8703.23.90.11.00,,Silindir hacmi 1500 cm3. ü geçen fakat 1600 cm3. ü geçmeyenler,0.4,VFD *  0.004
8703.23.90.12.00,,Silindir hacmi 1600 cm3. ü geçen fakat 2000 cm3. ü geçmeyenler,0.4,VFD *  0.004
8703.23.90.13.00,,Silindir hacmi 2000 cm3. ü geçenler,0.4,VFD *  0.004
8703.23.90.90.11,,Ambulanslar,0.4,VFD *  0.004
8703.23.90.90.19,,Diğerleri,0.4,VFD *  0.004
8703.24.10.10.00,,Binek otomobilleri,0.4,VFD *  0.004
8703.24.10.90.11,,Ambulanslar,0.4,VFD *  0.004
8703.24.10.90.19,,Diğerleri,0.4,VFD *  0.004
8703.24.90.10.00,,Binek otomobilleri,0.4,VFD *  0.004
8703.24.90.90.11,,Ambulanslar,0.4,VFD *  0.004
8703.24.90.90.19,,Diğerleri,0.4,VFD *  0.004
8703.31.10.10.00,,Binek otomobilleri,0.4,VFD *  0.004
8703.31.10.90.11,,Ambulanslar,0.4,VFD *  0.004
8703.31.10.90.19,,Diğerleri,0.4,VFD *  0.004
