unid,var,nameADR,qdtADR,ccodeADR,classADR,labelADR,pgADR,lqADR,sprovADR,eqADR,piADR,mixpADR,ppADR,tiADR,adrtADR,tpADR,adrtpADR,tankvADR,tcatADR,pprovADR,bprovADR,lprovADR,oprovADR,hinADR
4,a,AMMONIUM PICRATE,"dry or wetted with less than 10% water, by mass",1.1D,1,1,,0,,E0,P112(a),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
4,b,AMMONIUM PICRATE,"dry or wetted with less than 10% water, by mass",1.1D,1,1,,0,,E0,P112(b),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
4,c,AMMONIUM PICRATE,"dry or wetted with less than 10% water, by mass",1.1D,1,1,,0,,E0,P112(c),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
5,,CARTRIDGES FOR WEAPONS,with bursting charge,1.1F,1,1,,0,,E0,P130 LP101,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
6,,CARTRIDGES FOR WEAPONS,with bursting charge,1.1E,1,1,,0,,E0,P130 LP101,MP21,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
7,,CARTRIDGES FOR WEAPONS,with bursting charge,1.2F,1,1,,0,,E0,P130 LP101,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
9,,"AMMUNITION, INCENDIARY","with or without burster, expelling charge or propelling charge",1.2G,1,1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
10,,"AMMUNITION, INCENDIARY","with or without burster, expelling charge or propelling charge",1.3G,1,1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
12,a,"CARTRIDGES FOR WEAPONS, INERT PROJECTILE",,1.4S,1,1.4,,5 kg,364,E0,P130 LP101,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
12,b,"CARTRIDGES, SMALL ARMS",,1.4S,1,1.4,,5 kg,364,E0,P130 LP101,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
14,a,"CARTRIDGES FOR WEAPONS, BLANK",,1.4S,1,1.4,,5 kg,364,E0,P130 LP101,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
14,b,"CARTRIDGES, SMALL ARMS, BLANK",,1.4S,1,1.4,,5 kg,364,E0,P130 LP101,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
14,c,"CARTRIDGES FOR TOOLS, BLANK",,1.4S,1,1.4,,5 kg,364,E0,P130 LP101,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
15,a,"AMMUNITION, SMOKE","with or without burster, expelling charge or propelling charge, containing corrosive substances",1.2G,1,1+8,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
15,b,"AMMUNITION, SMOKE","with or without burster, expelling charge or propelling charge, containing toxic substances",1.2G,1,1+6.1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
15,c,"AMMUNITION, SMOKE","with or without burster, expelling charge or propelling charge",1.2G,1,1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3 CV28,S1,
