unid,var,nameJTT_EN,qdtJTT_EN,nameJTT_ZH,qdtJTT_ZH,ccodeJTT,classJTT,labelJTT,pgJTT,lqJTT,sprovJTT,eqJTT,piJTT,mixpJTT,ppJTT,tiJTT,adrtJTT,tpJTT,adrtpJTT,tankvJTT,tcatJTT,pprovJTT,bprovJTT,lprovJTT,oprovJTT,hintJTT
0004,a,AMMONIUM PICRATE,"dry or wetted with less than 10% water,by mass",苦味酸铵,"干的或湿的,按质量含水低于10%",1.1D,1,1,,0,,E0,P112(a),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0004,b,AMMONIUM PICRATE,"dry or wetted with less than 10% water,by mass",苦味酸铵,"干的或湿的,按质量含水低于10%",1.1D,1,1,,0,,E0,P112(b),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0004,c,AMMONIUM PICRATE,"dry or wetted with less than 10% water,by mass",苦味酸铵,"干的或湿的,按质量含水低于10%",1.1D,1,1,,0,,E0,P112(c),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0005,,CARTRIDGES FOR WEAPONS,with bursting charge,武器弹药筒,带有爆炸装药,1.1F,1,1,,0,,E0,P130,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0006,,CARTRIDGES FOR WEAPONS,with bursting charge,武器弹药筒,带有爆炸装药,1.1E,1,1,,0,,E0,P130 LP101,MP21,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0007,,CARTRIDGES FOR WEAPONS,with bursting charge,武器弹药筒,带有爆炸装药,1.2F,1,1,,0,,E0,P130,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0009,,"AMMUNITION, INCENDIARY","with or without burster,expelling charge or propelling charge",燃烧弹药,带或不带起爆装置、发射剂或推进剂,1.2G,1,1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0010,,"AMMUNITION, INCENDIARY","with or without burster,expelling charge or propelling charge",燃烧弹药,带或不带起爆装置、发射剂或推进剂,1.3G,1,1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
0012,a,"CARTRIDGES FOR WEAPONS, INERT PROJECTILE",,"武器弹药筒,带惰性弹头",,1.4S,1,1.4,,5kg,364,E0,P130,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
0012,b,"CARTRIDGES, SMALL ARMS",,轻武器弹药筒,,1.4S,1,1.4,,5kg,364,E0,P130,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
0014,a,"CARTRIDGES FOR WEAPONS, BLANK",,"武器弹药筒,无弹头",,1.4S,1,1.4,,5kg,364,E0,P130,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
0014,b,"CARTRIDGES, SMALL ARMS, BLANK",,"轻武器弹药筒,无弹头",,1.4S,1,1.4,,5kg,364,E0,P130,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
0014,c,"CARTRIDGE FOR TOOLS, BLANK",,"轻武器弹药筒,无弹头",,1.4S,1,1.4,,5kg,364,E0,P130,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
0015,a,"AMMUNITION, SMOKE","with or without burster, expelling charge or propelling charge",发烟弹药(烟幕弹),带或不带起爆装置、发射剂或推进剂,1.2G,1,1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0015,b,"AMMUNITION, SMOKE","with or without burster, expelling charge or propelling charge, containing corrosive substances",发烟弹药(烟幕弹),"带或不带起爆装置、发射剂或推进剂,含有腐蚀性物质",1.2G,1,1+8,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0016,a,"AMMUNITION, SMOKE","with or without burster, expelling charge or propelling charge",发烟弹药(烟幕弹),带有或不带起爆装置、发射剂或推进剂,1.3G,1,1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
0016,b,"AMMUNITION, SMOKE","with or without burster, expelling charge or propelling charge, containing corrosive substances",发烟弹药(烟幕弹),"带有或不带起爆装置、发射剂或推进剂,含有腐蚀性物质",1.3G,1,1+8,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
0018,,"AMMUNITION, TEARPRODUCING","with burster, expelling charge or propelling charge",催泪弹药(催泪弹),带起爆装置、发射药或推进剂,1.2G,1,1+6.1+8,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3 CV28,S1,
0019,,"AMMUNITION, TEARPRODUCING","with burster, expelling charge or propelling charge",催泪弹药(催泪弹),带起爆装置、发射剂或推进剂,1.3G,1,1+6.1+8,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (C5000D),V2,,CV1 CV2 CV3 CV28,S1,
0020,,"AMMUNITION, TOXIC","with burster, expelling charge or propelling charge",毒性弹药 (毒气弹),带起爆装置、发射剂或推进剂,1.2K,1,,,,,,,,,,,,,,,,,,,
0021,,"AMMUNITION, TOXIC","with burster, expelling charge or propelling charge",毒性弹药 (毒气弹),带起爆装置、发射剂或推进剂,1.3K,1,,,,,,,,,,,,,,,,,,,
0027,a,BLACKPOWDER,granular or as a meal,黑火药,颗粒状或粗粉状,1.1D,1,1,,0,,E0,P113,MP20 MP24,PP50,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0027,b,GUNPOWDER,granular or as a meal,火药,颗粒状或粗粉状,1.1D,1,1,,0,,E0,P113,MP20 MP24,PP50,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0028,a,"BLACK POWDER, COMPRESSED",,"黑火药,压缩的",,1.1D,1,1,,0,,E0,P113,MP20 MP24,PP51,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0028,b,BLACK POWDER IN PELLETS,,丸状黑火药,,1.1D,1,1,,0,,E0,P113,MP20 MP24,PP51,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0028,c,"GUNPOWDER, COMPRESSED",,"火药,压缩的",,1.1D,1,1,,0,,E0,P113,MP20 MP24,PP51,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0028,d,GUNPOWDER IN PELLETS,,丸状火药,,1.1D,1,1,,0,,E0,P113,MP20 MP24,PP51,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0029,,"DETONATORS, NONELECTRIC",for blasting,非电引爆雷管,爆破用,1.1B,1,1,,0,,E0,P131,MP23,PP68,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
