unno,var,nameRID,ClassRID,CCodeRID,pgRID,LabRID,spRID,lqRID,eqRID,piRID,ppRID,MixRID,tiRID,tpRID,trRID,sptRID,catRID,sppRID,spbRID,splRID,colisRID,hinRID,qdt
0004,a,AMMONIUM PICRATE,1,1.1D,,1+13,,0,E0,P112(a),PP26,MP20,,,,,1,W2 W3,,CW1,,1.1D,"dry or wetted with less than 10% water, by mass"
0004,b,AMMONIUM PICRATE,1,1.1D,,1+13,,0,E0,P112(b),PP26,MP20,,,,,1,W2 W3,,CW1,,1.1D,"dry or wetted with less than 10% water, by mass"
0004,c,AMMONIUM PICRATE,1,1.1D,,1+13,,0,E0,P112(c),PP26,MP20,,,,,1,W2 W3,,CW1,,1.1D,"dry or wetted with less than 10% water, by mass"
0005,,CARTRIDGES FOR WEAPONS,1,1.1F,,1+13,,0,E0,P130 LP101,,MP23,,,,,1,W2,,CW1,,1.1F,with bursting charge
0006,,CARTRIDGES FOR WEAPONS,1,1.1E,,1+13,,0,E0,P130 LP101,PP67 L1,MP21,,,,,1,W2,,CW1,,1.1E,with bursting charge
0007,,CARTRIDGES FOR WEAPONS,1,1.2F,,1+13,,0,E0,P130 LP101,,MP23,,,,,1,W2,,CW1,,1.2F,with bursting charge
0009,,"AMMUNITION, INCENDIARY",1,1.2G,,1,,0,E0,P130 LP101,PP67 L1,MP23,,,,,1,W2,,CW1,,1.2G,"with or without burster, expelling charge or propelling charge"
0010,,"AMMUNITION, INCENDIARY",1,1.3G,,1,,0,E0,P130 LP101,PP67 L1,MP23,,,,,1,W2,,CW1,,1.3G,"with or without burster, expelling charge or propelling charge"
0012,a,"CARTRIDGES FOR WEAPONS, INERT PROJECTILE",1,1.4S,,1.4,364,5 kg,E0,P130 LP101,,MP23 MP24,,,,,4,W2,,CW1,CE1,1.4S,
0012,b,"CARTRIDGES, SMALL ARMS",1,1.4S,,1.4,364,5 kg,E0,P130 LP101,,MP23 MP24,,,,,4,W2,,CW1,CE1,1.4S,
0014,a,"CARTRIDGES FOR WEAPONS, BLANK",1,1.4S,,1.4,364,5 kg,E0,P130 LP101,,MP23 MP24,,,,,4,W2,,CW1,CE1,1.4S,
0014,b,"CARTRIDGES, SMALL ARMS, BLANK",1,1.4S,,1.4,364,5 kg,E0,P130 LP101,,MP23 MP24,,,,,4,W2,,CW1,CE1,1.4S,
0014,c,"CARTRIDGES FOR TOOLS, BLANK",1,1.4S,,1.4,364,5 kg,E0,P130 LP101,,MP23 MP24,,,,,4,W2,,CW1,CE1,1.4S,
0015,a,"AMMUNITION, SMOKE",1,1.2G,,1+8,,0,E0,P130 LP101,PP67 L1,MP23,,,,,1,W2,,CW1,,1.2G,"with or without burster, expelling charge or propelling charge, containing corrosive substances"
0015,b,"AMMUNITION, SMOKE",1,1.2G,,1+6.1,,0,E0,P130 LP101,PP67 L1,MP23,,,,,1,W2,,CW1 CW28,,1.2G,"with or without burster, expelling charge or propelling charge, containing toxic by inhalation substances"
0015,c,"AMMUNITION, SMOKE",1,1.2G,,1,,0,E0,P130 LP101,PP67 L1,MP23,,,,,1,W2,,CW1,,1.2G,"with or without burster, expelling charge or propelling charge"
0016,a,"AMMUNITION, SMOKE",1,1.3G,,1+8,,0,E0,P130 LP101,PP67 L1,MP23,,,,,1,W2,,CW1,,1.3G,"with or without burster, expelling charge or propelling charge, containing corrosive substances"
0016,b,"AMMUNITION, SMOKE",1,1.3G,,1+6.1,,0,E0,P130 LP101,PP67 L1,MP23,,,,,1,W2,,CW1 CW28,,1.3G,"with or without burster, expelling charge or propelling charge, containing toxic by inhalation substances"
0016,c,"AMMUNITION, SMOKE",1,1.3G,,1,,0,E0,P130 LP101,PP67 L1,MP23,,,,,1,W2,,CW1,,1.3G,"with or without burster, expelling charge or propelling charge"
0018,,"AMMUNITION, TEAR-PRODUCING",1,1.2G,,1+6.1+8,,0,E0,P130 LP101,PP67 L1,MP23,,,,,1,W2,,CW1 CW28,,1.2G,"with burster, expelling charge or propelling charge"
0019,,"AMMUNITION, TEAR-PRODUCING",1,1.3G,,1+6.1+8,,0,E0,P130 LP101,PP67 L1,MP23,,,,,1,W2,,CW1 CW28,,1.3G,"with burster, expelling charge or propelling charge"
0020,,"AMMUNITION, TOXIC",1,1.2K,,,,,,,,,,,CARRIAGE PROHIBITED,,,,,,,,"with burster, expelling charge or propelling charge"
0021,,"AMMUNITION, TOXIC",1,1.3K,,,,,,,,,,,CARRIAGE PROHIBITED,,,,,,,,"with burster, expelling charge or propelling charge"
0027,a,BLACK POWDER,1,1.1D,,1+13,,0,E0,P113,PP50,MP20 MP24,,,,,1,W2 W3,,CW1,,1.1D,"granular, or as a meal"
0027,b,GUNPOWDER,1,1.1D,,1+13,,0,E0,P113,PP50,MP20 MP24,,,,,1,W2 W3,,CW1,,1.1D,"granular, or as a meal"
0028,a,"BLACK POWDER, COMPRESSED",1,1.1D,,1+13,,0,E0,P113,PP51,MP20 MP24,,,,,1,W2,,CW1,,1.1D,
