TYPE,COUNTRY,CODE,DESCRIPTION,HASFLASHPOINTLOWER,FLASHPOINTLOWER,HASFLASHPOINTUPPER,FLASHPOINTUPPER
ICPE,FR,4220,Stockage de produits explosifs,0,0,0,0
ICPE,FR,4240.1,Stockage de produits explosibles,0,0,0,0
ICPE,FR,4701.1,Stockage de nitrate d’ammonium,0,0,0,0
ICPE,FR,4749,Stockage de perchlorate d’ammonium,0,0,0,0
ICPE,FR,4719,Stockage d'acétylène,0,0,0,0
ICPE,FR,9999,Non repris dans la nomenclature ICPE,0,0,0,0
ICPE,FR,4442,Stockage de gaz comburants Cat. 1,0,0,0,0
ICPE,FR,4735,Stockage d'ammoniac,0,0,0,0
ICPE,FR,4736,Stockage de trifluorure de bore,0,0,0,0
ICPE,FR,1185.3,"Stockage de fluides vierges, recyclés ou régénérés contenant du gaz à effet de serre fluorés ou substances qui appauvrissent la couche d’ozone",0,0,0,0
ICPE,FR,4718,Stockage de gaz inflammables liquéfiés de cat. 1 et 2,0,0,0,0
ICPE,FR,4310,Stockage de gaz inflammables cat. 1 et 2,0,0,0,0
ICPE,FR,4710,Stockage de chlore,0,0,0,0
ICPE,FR,4720,Stockage d'oxyde d’éthylène,0,0,0,0
ICPE,FR,4110.3,Stockage de toxique aiguë cat. 1 (gaz ou gaz liquéfiés),0,0,0,0
ICPE,FR,4130.3,Stockage de toxique aiguë cat. 3 pour les voies d’exposition par inhalation (gaz ou gaz liquéfiés),0,0,0,0
ICPE,FR,4715,Stockage d'hydrogène,0,0,0,0
ICPE,FR,4716,Stockage de chlorure d’hydrogène (gaz liquéfié),0,0,0,0
ICPE,FR,4110.2,Stockage de toxique aiguë cat. 1 (liquide),0,0,0,0
ICPE,FR,4737,Stockage de sulfure d’hydrogène,0,0,0,0
ICPE,FR,4725,Stockage d'oxygène,0,0,0,0
ICPE,FR,4331,Stockage de liquides inflammables de cat. 2 ou 3,0,0,0,0
ICPE,FR,4330,Stockage de liquides inflammables de cat. 1,0,0,0,0
ICPE,FR,4130.2,Stockage de toxique aiguë cat. 3 pour les voies d’exposition par inhalation (liquide),0,0,0,0
ICPE,FR,4140.2,Stockage de toxique aiguë cat. 3 pour la voie d’exposition orale (liquide),0,0,0,0
ICPE,FR,4511,Stockage de dangereux pour l’environnement aquatique de cat. chronique 2,0,0,0,0
ICPE,FR,4510,Stockage de dangereux pour l’environnement aquatique de cat. aiguë 1 ou chronique 1,0,0,0,0
ICPE,FR,4733,Stockage de cancérogènes spécifiques,0,0,0,0
ICPE,FR,4120.2,Stockage de toxique aiguë cat. 2 (liquide),0,0,0,0
ICPE,FR,4620,"Substances et mélanges qui, au contact de l’eau, dégagent des gaz inflammables, cat. 1",0,0,0,0
