UNNO,VARIANT,STANDARD,TYPE,COUNTRY,CODE,HASFLASHPOINTLOWER,FLASHPOINTLOWER,HASFLASHPOINTUPPER,FLASHPOINTUPPER
2764,a,IMO,PSA,SG,2,1,-26,1,22.9
2991,c,IMO,PSA,SG,3,1,23,1,60
2669,b,IMO,PSA,SG,3,0,0,1,22.9
2669,b,IMO,PSA,SG,3,1,23.0,1,60.0
2669,b,IMO,PSA,SG,3,1,60.1,0,0
4,b,IMO,PSA,SG,1,0,0,0,0
1120,a,IMO,PSA,SG,2S,1,-26,1,22.9
1275,,IMO,PSA,SG,1S,0,0,1,-26.1
1275,,IMO,PSA,SG,2S,1,-26,1,22.9
2027,,IMO,PSA,SG,2S,0,0,1,-26.1
2027,,IMO,PSA,SG,2S,1,-26.0,1,22.9
2027,,IMO,PSA,SG,2S,1,23.0,1,60.0
2027,,IMO,PSA,SG,2S,1,60.1,0,0
2916,d,IMO,PSA,SG,2,0,0,1,-26.1
2916,d,IMO,PSA,SG,2,1,-26.0,1,22.9
2916,d,IMO,PSA,SG,2,1,23.0,1,60.0
2916,d,IMO,PSA,SG,2,1,60.1,0,0
397,,IMO,PSA,SG,1,0,0,0,0
1268,d,IMO,PSA,SG,2S,1,-26,1,22.9
3328,b,IMO,PSA,SG,2,0,0,1,-26.1
3328,b,IMO,PSA,SG,2,1,-26.0,1,22.9
3328,b,IMO,PSA,SG,2,1,23.0,1,60.0
3328,b,IMO,PSA,SG,2,1,60.1,0,0
3352,b,IMO,PSA,SG,2,0,0,1,-26.1
3352,b,IMO,PSA,SG,2,1,-26.0,1,22.9
3352,b,IMO,PSA,SG,2,1,23.0,1,60.0
3352,b,IMO,PSA,SG,2,1,60.1,0,0
2466,,IMO,PSA,SG,2,0,0,1,-26.1
2466,,IMO,PSA,SG,2,1,-26.0,1,22.9
2466,,IMO,PSA,SG,2,1,23.0,1,60.0
2466,,IMO,PSA,SG,2,1,60.1,0,0
2856,,IMO,PSA,SG,3,0,0,1,22.9
2856,,IMO,PSA,SG,3,1,23.0,1,60.0
2856,,IMO,PSA,SG,3,1,60.1,0,0
3211,b,IMO,PSA,SG,1D,0,0,1,-26.1
3211,b,IMO,PSA,SG,1D,1,-26.0,0,0
2917,a,IMO,PSA,SG,2,0,0,1,-26.1
2917,a,IMO,PSA,SG,2,1,-26.0,1,22.9
2917,a,IMO,PSA,SG,2,1,23.0,1,60.0
2917,a,IMO,PSA,SG,2,1,60.1,0,0
3396,a,IMO,PSA,SG,1D,0,0,1,-26.1
3396,a,IMO,PSA,SG,1D,1,-26.0,0,0
2222,,IMO,PSA,SG,3,1,23,1,60
2350,,IMO,PSA,SG,2S,1,-26,1,22.9
2917,b,IMO,PSA,SG,2,0,0,1,-26.1
2917,b,IMO,PSA,SG,2,1,-26.0,1,22.9
2917,b,IMO,PSA,SG,2,1,23.0,1,60.0
2917,b,IMO,PSA,SG,2,1,60.1,0,0
2746,,IMO,PSA,SG,2,0,0,1,-26.1
2746,,IMO,PSA,SG,2,1,-26.0,1,22.9
2746,,IMO,PSA,SG,2,1,23.0,1,60.0
2746,,IMO,PSA,SG,2,1,60.1,0,0
2787,a,IMO,PSA,SG,2,1,-26,1,22.9
1027,,IMO,PSA,SG,2S,0,0,1,-26.1
1027,,IMO,PSA,SG,2S,1,-26.0,1,22.9
1027,,IMO,PSA,SG,2S,1,23.0,1,60.0
1027,,IMO,PSA,SG,2S,1,60.1,0,0
2911,a,IMO,PSA,SG,2,0,0,1,-26.1
2911,a,IMO,PSA,SG,2,1,-26.0,1,22.9
2911,a,IMO,PSA,SG,2,1,23.0,1,60.0
2911,a,IMO,PSA,SG,2,1,60.1,0,0
2872,a,IMO,PSA,SG,2,0,0,1,-26.1
2872,a,IMO,PSA,SG,2,1,-26.0,1,22.9
2872,a,IMO,PSA,SG,2,1,23.0,1,60.0
2872,a,IMO,PSA,SG,2,1,60.1,0,0
2872,a,IMO,PSA,SG,3,0,0,1,22.9
2872,a,IMO,PSA,SG,3,1,23.0,1,60.0
2872,a,IMO,PSA,SG,3,1,60.1,0,0
1221,,IMO,PSA,SG,1D,0,0,1,-26.1
1450,,IMO,PSA,SG,2,0,0,1,-26.1
1450,,IMO,PSA,SG,2,1,-26.0,1,22.9
1450,,IMO,PSA,SG,2,1,23.0,1,60.0
1450,,IMO,PSA,SG,2,1,60.1,0,0
2591,,IMO,PSA,SG,3,0,0,1,22.9
2591,,IMO,PSA,SG,3,1,23.0,1,60.0
2591,,IMO,PSA,SG,3,1,60.1,0,0
1394,,IMO,PSA,SG,2,0,0,1,-26.1
1394,,IMO,PSA,SG,2,1,-26.0,1,22.9
1394,,IMO,PSA,SG,2,1,23.0,1,60.0
1394,,IMO,PSA,SG,2,1,60.1,0,0
2520,,IMO,PSA,SG,3,1,23,1,60
2837,a,IMO,PSA,SG,2S,0,0,1,-26.1
2837,a,IMO,PSA,SG,2S,1,-26.0,1,22.9
2837,a,IMO,PSA,SG,2S,1,23.0,1,60.0
2837,a,IMO,PSA,SG,2S,1,60.1,0,0
2837,a,IMO,PSA,SG,2S,1,60.1,0,0
1554,,IMO,PSA,SG,2,0,0,1,-26.1
1554,,IMO,PSA,SG,2,1,-26.0,1,22.9
1554,,IMO,PSA,SG,2,1,23.0,1,60.0
1554,,IMO,PSA,SG,2,1,60.1,0,0
2214,,IMO,PSA,SG,3,0,0,1,22.9
2214,,IMO,PSA,SG,3,1,23.0,1,60.0
2214,,IMO,PSA,SG,3,1,60.1,0,0
2511,,IMO,PSA,SG,3,0,0,1,22.9
2511,,IMO,PSA,SG,3,1,23.0,1,60.0
2511,,IMO,PSA,SG,3,1,60.1,0,0
2673,,IMO,PSA,SG,3,0,0,1,22.9
2673,,IMO,PSA,SG,3,1,23.0,1,60.0
2673,,IMO,PSA,SG,3,1,60.1,0,0
