Port,Description,Type
80101,Alberta,INB
80102,Manitoba,INB
80103,Saskatchewan,INB
80104,NorthwestTerritories,INB
80105,Yukon,INB
80106,BritishColumbia,INB
80108,Quebec,INB
80109,NovaScotia,INB
80110,NewBrunswick,INB
80111,PrinceEdwardIsland,INB
80112,Newfoundland,INB
80113,Nunavut,INB
80107,Ontario,INB
97101,Aguascalientes,INB
97102,BajaCaliforniaNorte,INB
97103,BajaCaliforniaSur,INB
97104,Chihuahua,INB
97105,Colima,INB
97106,Campeche,INB
97107,Coahuila,INB
97108,Chiapas,INB
97109,DistritoFederal,INB
97110,Durango,INB
97111,Guerrero,INB
97112,Guanajuato,INB
97113,Hidalgo,INB
97114,Jalisco,INB
97115,Michoacan,INB
97116,Morelos,INB
97117,Mexico,INB
97118,Navarit,INB
97119,NuevoLeon,INB
97120,Oaxaca,INB
97121,Puebla,INB
97122,QuintanaRoo,INB
97123,Queretaro,INB
97124,Sinaloa,INB
97125,SanLuisPotosi,INB
97126,Sonora,INB
97127,Tabasco,INB
97128,Tlaxcala,INB
97129,Tamaulipas,INB
97130,Veracruz,INB
97131,Yucatan,INB
97132,Zacatecas,INB
4901,"AGUADILLA,PR",AES
4904,"FAJARDO,PR",AES
4907,"MAYAGUEZ,PR",AES
4908,"PONCE,PR",AES
4909,"SANJUAN,PR",AES
4913,"INTLAIRPORT,PR",AES
57042,"QINZHOU,CHINA",AES
5101,"CHARLOTTEAMALIE,USVI",AES
5102,"CRUZBAY,VI",AES
5104,"CHRISTIANSTED,VI",AES
5105,"FREDERIKSTED,VI",AES
