Code,AttributeName,AttributeValue
0A018,LicenseType,C35
0A501,LicenseType,C35
0A502,LicenseType,C35
0A504,LicenseType,C35
0A505,LicenseType,C35
0A602,LicenseType,C35
0A606,LicenseType,C35
0A614,LicenseType,C35
0A617,LicenseType,C35
0A918,LicenseType,C35
0B501,LicenseType,C35
0B505,LicenseType,C35
0B602,LicenseType,C35
0B604,LicenseType,C35
0B606,LicenseType,C35
0B614,LicenseType,C35
0B617,LicenseType,C35
0C606,LicenseType,C35
0C617,LicenseType,C35
1A001,LicenseType,C35
1A002,LicenseType,C35
1A003,LicenseType,C35
1A008,LicenseType,C35
1A613,LicenseType,C35
1B001,LicenseType,C35
1B002,LicenseType,C35
1B003,LicenseType,C35
1B018,LicenseType,C35
1B607,LicenseType,C35
1B608,LicenseType,C35
1B613,LicenseType,C35
1C002,LicenseType,C35
1C003,LicenseType,C35
1C004,LicenseType,C35
1C005,LicenseType,C35
1C006,LicenseType,C35
1C007,LicenseType,C35
1C008,LicenseType,C35
1C009,LicenseType,C35
1C010,LicenseType,C35
1C608,LicenseType,C35
2A001,LicenseType,C35
2B003,LicenseType,C35
2B005,LicenseType,C35
2B007,LicenseType,C35
2B018,LicenseType,C35
2B350,LicenseType,C35
3A001,LicenseType,C35
3A002,LicenseType,C35
3A611,LicenseType,C35
3B001,LicenseType,C35
3B002,LicenseType,C35
3B611,LicenseType,C35
3C001,LicenseType,C35
3C002,LicenseType,C35
3C003,LicenseType,C35
3C004,LicenseType,C35
3C005,LicenseType,C35
3C006,LicenseType,C35
4A001,LicenseType,C35
4A003,LicenseType,C35
4A004,LicenseType,C35
5A001,LicenseType,C35
5A002,LicenseType,C35
5A003,LicenseType,C35
5A004,LicenseType,C35
5B001,LicenseType,C35
6A001,LicenseType,C35
6A002,LicenseType,C35
6A003,LicenseType,C35
6A004,LicenseType,C35
6A005,LicenseType,C35
6A006,LicenseType,C35
6A007,LicenseType,C35
6A008,LicenseType,C35
6B002,LicenseType,C35
6B004,LicenseType,C35
6B007,LicenseType,C35
6B619,LicenseType,C35
6C002,LicenseType,C35
6C004,LicenseType,C35
6C005,LicenseType,C35
7A611,LicenseType,C35
7B611,LicenseType,C35
8A001,LicenseType,C35
8A002,LicenseType,C35
8A609,LicenseType,C35
8A620,LicenseType,C35
8A918,LicenseType,C35
8B001,LicenseType,C35
8B609,LicenseType,C35
8B620,LicenseType,C35
8C609,LicenseType,C35
9A002,LicenseType,C35
9A003,LicenseType,C35
9A515,LicenseType,C35
9A604,LicenseType,C35
9A610,LicenseType,C35
9A619,LicenseType,C35
9A620,LicenseType,C35
9B001,LicenseType,C35
9B002,LicenseType,C35
9B003,LicenseType,C35
9B004,LicenseType,C35
9B006,LicenseType,C35
9B008,LicenseType,C35
9B009,LicenseType,C35
9B515,LicenseType,C35
9B604,LicenseType,C35
9B610,LicenseType,C35
9B619,LicenseType,C35
9B620,LicenseType,C35
9C610,LicenseType,C35
9C619,LicenseType,C35
1A004,LicenseType,C36
1A005,LicenseType,C36
3B002,LicenseType,C36
4A003,LicenseType,C36
1C006,LicenseType,C36
2A001,LicenseType,C36
3A001,LicenseType,C36
3A002,LicenseType,C36
3B001,LicenseType,C36
3C002,LicenseType,C36
3C005,LicenseType,C36
3C006,LicenseType,C36
5A001,LicenseType,C36
5B001,LicenseType,C36
6A001,LicenseType,C36
6A004,LicenseType,C36
6A005,LicenseType,C36
6A008,LicenseType,C36
6B002,LicenseType,C36
6B004,LicenseType,C36
6C004,LicenseType,C36
8A002,LicenseType,C36
9B001,LicenseType,C36
9B002,LicenseType,C36
9B003,LicenseType,C36
9B004,LicenseType,C36
9B006,LicenseType,C36
1D001,LicenseType,C38
1D002,LicenseType,C38
3E002,LicenseType,C38
5D001,LicenseType,C38
6D003,LicenseType,C38
9D003,LicenseType,C38
1E001,LicenseType,C38
1E002,LicenseType,C38
2D001,LicenseType,C38
2D002,LicenseType,C38
2D003,LicenseType,C38
2E001,LicenseType,C38
2E002,LicenseType,C38
2E003,LicenseType,C38
3D001,LicenseType,C38
3D002,LicenseType,C38
3D003,LicenseType,C38
3D004,LicenseType,C38
3E001,LicenseType,C38
3E003,LicenseType,C38
3E004,LicenseType,C38
5E001,LicenseType,C38
6D001,LicenseType,C38
6D002,LicenseType,C38
6E001,LicenseType,C38
6E002,LicenseType,C38
6E003,LicenseType,C38
8D001,LicenseType,C38
8D002,LicenseType,C38
8E001,LicenseType,C38
8E002,LicenseType,C38
9D018,LicenseType,C38
9E018,LicenseType,C38
4D001,LicenseType,C38
4E001,LicenseType,C38
0E018,LicenseType,C38
2D018,LicenseType,C38
2E018,LicenseType,C38
4D001,LicenseType,C38
8E002,LicenseType,C38
5A002,LicenseType,C50
5A004,LicenseType,C50
5B002,LicenseType,C50
5D002,LicenseType,C50
5E002,LicenseType,C50
4A003,LicenseType,C53
4D001,LicenseType,C53
4E001,LicenseType,C53
1C988,LicenseType,C54
EAR99,LicenseType,C58
4A994,LicenseType,C58
4D994,LicenseType,C58
5A991,LicenseType,C58
5D991,LicenseType,C58
5D992,LicenseType,C58
5A992,LicenseType,C58
7A994,LicenseType,C58
0A501,LicenseType,C59
0A503,LicenseType,C59
0A504,LicenseType,C59
0A505,LicenseType,C59
0A521,LicenseType,C59
0A602,LicenseType,C59
0A604,LicenseType,C59
0A606,LicenseType,C59
0A614,LicenseType,C59
0A617,LicenseType,C59
0A919,LicenseType,C59
0A978,LicenseType,C59
0A979,LicenseType,C59
0A980,LicenseType,C59
0A981,LicenseType,C59
0A982,LicenseType,C59
0A983,LicenseType,C59
0A988,LicenseType,C59
0A998,LicenseType,C59
0A999,LicenseType,C59
0B501,LicenseType,C59
0B505,LicenseType,C59
0B521,LicenseType,C59
0B602,LicenseType,C59
0B604,LicenseType,C59
0B606,LicenseType,C59
0B614,LicenseType,C59
0B617,LicenseType,C59
0B999,LicenseType,C59
0C521,LicenseType,C59
0C606,LicenseType,C59
0C617,LicenseType,C59
0D501,LicenseType,C59
0D505,LicenseType,C59
0D521,LicenseType,C59
0D602,LicenseType,C59
0D604,LicenseType,C59
0D606,LicenseType,C59
0D614,LicenseType,C59
0D617,LicenseType,C59
0D999,LicenseType,C59
0E501,LicenseType,C59
0E502,LicenseType,C59
0E504,LicenseType,C59
0E505,LicenseType,C59
0E521,LicenseType,C59
0E602,LicenseType,C59
0E604,LicenseType,C59
0E606,LicenseType,C59
0E614,LicenseType,C59
0E617,LicenseType,C59
0E982,LicenseType,C59
1A001,LicenseType,C59
1A002,LicenseType,C59
1A003,LicenseType,C59
1A004,LicenseType,C59
1A005,LicenseType,C59
1A006,LicenseType,C59
1A007,LicenseType,C59
1A008,LicenseType,C59
1A202,LicenseType,C59
1A225,LicenseType,C59
1A226,LicenseType,C59
1A227,LicenseType,C59
1A231,LicenseType,C59
1A290,LicenseType,C59
1A607,LicenseType,C59
1A613,LicenseType,C59
1A984,LicenseType,C59
1A985,LicenseType,C59
1A995,LicenseType,C59
1A999,LicenseType,C59
1B001,LicenseType,C59
1B002,LicenseType,C59
1B003,LicenseType,C59
1B201,LicenseType,C59
1B225,LicenseType,C59
1B226,LicenseType,C59
1B228,LicenseType,C59
1B229,LicenseType,C59
1B230,LicenseType,C59
1B231,LicenseType,C59
1B232,LicenseType,C59
1B233,LicenseType,C59
1B234,LicenseType,C59
1B607,LicenseType,C59
1B608,LicenseType,C59
1B613,LicenseType,C59
1B999,LicenseType,C59
1C001,LicenseType,C59
1C002,LicenseType,C59
1C003,LicenseType,C59
1C004,LicenseType,C59
1C005,LicenseType,C59
1C006,LicenseType,C59
1C007,LicenseType,C59
1C008,LicenseType,C59
1C009,LicenseType,C59
1C010,LicenseType,C59
1C011,LicenseType,C59
1C202,LicenseType,C59
1C210,LicenseType,C59
1C216,LicenseType,C59
1C225,LicenseType,C59
1C226,LicenseType,C59
1C227,LicenseType,C59
1C228,LicenseType,C59
1C229,LicenseType,C59
1C230,LicenseType,C59
1C231,LicenseType,C59
1C232,LicenseType,C59
1C233,LicenseType,C59
1C234,LicenseType,C59
1C235,LicenseType,C59
1C236,LicenseType,C59
1C237,LicenseType,C59
1C239,LicenseType,C59
1C240,LicenseType,C59
1C241,LicenseType,C59
1C298,LicenseType,C59
1C350,LicenseType,C59
1C351,LicenseType,C59
1C353,LicenseType,C59
1C354,LicenseType,C59
1C355,LicenseType,C59
1C395,LicenseType,C59
1C607,LicenseType,C59
1C608,LicenseType,C59
1C980,LicenseType,C59
1C982,LicenseType,C59
1C983,LicenseType,C59
1C984,LicenseType,C59
1C988,LicenseType,C59
1C990,LicenseType,C59
1C991,LicenseType,C59
1C992,LicenseType,C59
1C995,LicenseType,C59
1C996,LicenseType,C59
1C997,LicenseType,C59
1C998,LicenseType,C59
1C999,LicenseType,C59
1D002,LicenseType,C59
1D003,LicenseType,C59
1D201,LicenseType,C59
1D390,LicenseType,C59
1D607,LicenseType,C59
1D608,LicenseType,C59
1D613,LicenseType,C59
1D993,LicenseType,C59
1D999,LicenseType,C59
1E001,LicenseType,C59
1E002,LicenseType,C59
1E201,LicenseType,C59
1E202,LicenseType,C59
1E203,LicenseType,C59
1E350,LicenseType,C59
1E351,LicenseType,C59
1E355,LicenseType,C59
1E607,LicenseType,C59
1E608,LicenseType,C59
1E613,LicenseType,C59
1E994,LicenseType,C59
1E998,LicenseType,C59
2A225,LicenseType,C59
2A226,LicenseType,C59
2A290,LicenseType,C59
2A291,LicenseType,C59
2A983,LicenseType,C59
2A984,LicenseType,C59
2A991,LicenseType,C59
2A992,LicenseType,C59
2A993,LicenseType,C59
2A994,LicenseType,C59
2A999,LicenseType,C59
2B001,LicenseType,C59
2B002,LicenseType,C59
2B003,LicenseType,C59
2B005,LicenseType,C59
2B006,LicenseType,C59
2B007,LicenseType,C59
2B008,LicenseType,C59
2B018,LicenseType,C59
2B201,LicenseType,C59
2B204,LicenseType,C59
2B206,LicenseType,C59
2B207,LicenseType,C59
2B209,LicenseType,C59
2B225,LicenseType,C59
2B226,LicenseType,C59
2B227,LicenseType,C59
2B228,LicenseType,C59
2B229,LicenseType,C59
2B230,LicenseType,C59
2B231,LicenseType,C59
2B232,LicenseType,C59
2B233,LicenseType,C59
2B350,LicenseType,C59
2B351,LicenseType,C59
2B352,LicenseType,C59
2B991,LicenseType,C59
2B992,LicenseType,C59
2B993,LicenseType,C59
2B996,LicenseType,C59
2B997,LicenseType,C59
2B998,LicenseType,C59
2B999,LicenseType,C59
2D001,LicenseType,C59
2D002,LicenseType,C59
2D003,LicenseType,C59
2D018,LicenseType,C59
2D201,LicenseType,C59
2D202,LicenseType,C59
2D290,LicenseType,C59
2D351,LicenseType,C59
2D352,LicenseType,C59
2D983,LicenseType,C59
2D984,LicenseType,C59
2D991,LicenseType,C59
2D992,LicenseType,C59
2D993,LicenseType,C59
2D994,LicenseType,C59
2E001,LicenseType,C59
2E002,LicenseType,C59
2E003,LicenseType,C59
2E201,LicenseType,C59
2E290,LicenseType,C59
2E301,LicenseType,C59
2E983,LicenseType,C59
2E984,LicenseType,C59
2E991,LicenseType,C59
2E993,LicenseType,C59
2E994,LicenseType,C59
3A001,LicenseType,C59
3A002,LicenseType,C59
3A003,LicenseType,C59
3A201,LicenseType,C59
3A225,LicenseType,C59
3A226,LicenseType,C59
3A227,LicenseType,C59
3A228,LicenseType,C59
3A229,LicenseType,C59
3A230,LicenseType,C59
3A231,LicenseType,C59
3A232,LicenseType,C59
3A233,LicenseType,C59
3A234,LicenseType,C59
3A611,LicenseType,C59
3A980,LicenseType,C59
3A981,LicenseType,C59
3A991,LicenseType,C59
3A992,LicenseType,C59
3A999,LicenseType,C59
3B001,LicenseType,C59
3B002,LicenseType,C59
3B611,LicenseType,C59
3B991,LicenseType,C59
3B992,LicenseType,C59
3C001,LicenseType,C59
3C002,LicenseType,C59
3C003,LicenseType,C59
3C004,LicenseType,C59
3C005,LicenseType,C59
3C006,LicenseType,C59
3C992,LicenseType,C59
3D001,LicenseType,C59
3D002,LicenseType,C59
3D003,LicenseType,C59
3D004,LicenseType,C59
3D005,LicenseType,C59
3D201,LicenseType,C59
3D202,LicenseType,C59
3D611,LicenseType,C59
3D980,LicenseType,C59
3D991,LicenseType,C59
3E001,LicenseType,C59
3E002,LicenseType,C59
3E003,LicenseType,C59
3E004,LicenseType,C59
3E201,LicenseType,C59
3E202,LicenseType,C59
3E611,LicenseType,C59
3E980,LicenseType,C59
3E991,LicenseType,C59
4A001,LicenseType,C59
4A003,LicenseType,C59
4A004,LicenseType,C59
4A611,LicenseType,C59
4A980,LicenseType,C59
4A994,LicenseType,C59
4D001,LicenseType,C59
4D980,LicenseType,C59
4D993,LicenseType,C59
4D994,LicenseType,C59
4E001,LicenseType,C59
4E980,LicenseType,C59
4E992,LicenseType,C59
4E993,LicenseType,C59
5A001,LicenseType,C59
5A002,LicenseType,C59
5A003,LicenseType,C59
5A004,LicenseType,C59
5A611,LicenseType,C59
5A980,LicenseType,C59
5A991,LicenseType,C59
5A992,LicenseType,C59
5B001,LicenseType,C59
5B002,LicenseType,C59
5B991,LicenseType,C59
5C991,LicenseType,C59
5D001,LicenseType,C59
5D002,LicenseType,C59
5D980,LicenseType,C59
5D991,LicenseType,C59
5D992,LicenseType,C59
5E001,LicenseType,C59
5E002,LicenseType,C59
5E980,LicenseType,C59
5E991,LicenseType,C59
5E992,LicenseType,C59
6A001,LicenseType,C59
6A002,LicenseType,C59
6A003,LicenseType,C59
6A004,LicenseType,C59
6A005,LicenseType,C59
6A006,LicenseType,C59
6A007,LicenseType,C59
6A008,LicenseType,C59
6A202,LicenseType,C59
6A203,LicenseType,C59
6A205,LicenseType,C59
6A225,LicenseType,C59
6A226,LicenseType,C59
6A991,LicenseType,C59
6A992,LicenseType,C59
6A993,LicenseType,C59
6A994,LicenseType,C59
6A995,LicenseType,C59
6A996,LicenseType,C59
6A997,LicenseType,C59
6A998,LicenseType,C59
6A999,LicenseType,C59
6B002,LicenseType,C59
6B004,LicenseType,C59
6B007,LicenseType,C59
6B008,LicenseType,C59
6B619,LicenseType,C59
6B995,LicenseType,C59
6C002,LicenseType,C59
6C004,LicenseType,C59
6C005,LicenseType,C59
6C992,LicenseType,C59
6C994,LicenseType,C59
6D001,LicenseType,C59
6D003,LicenseType,C59
6D201,LicenseType,C59
6D619,LicenseType,C59
6D991,LicenseType,C59
6D992,LicenseType,C59
6D993,LicenseType,C59
6E001,LicenseType,C59
6E002,LicenseType,C59
6E003,LicenseType,C59
6E201,LicenseType,C59
6E202,LicenseType,C59
6E619,LicenseType,C59
6E991,LicenseType,C59
6E992,LicenseType,C59
6E993,LicenseType,C59
7A003,LicenseType,C59
7A005,LicenseType,C59
7A008,LicenseType,C59
7A611,LicenseType,C59
7A994,LicenseType,C59
7B103,LicenseType,C59
7B611,LicenseType,C59
7B994,LicenseType,C59
7D003,LicenseType,C59
7D004,LicenseType,C59
7D005,LicenseType,C59
7D611,LicenseType,C59
7D994,LicenseType,C59
7E001,LicenseType,C59
7E002,LicenseType,C59
7E004,LicenseType,C59
7E611,LicenseType,C59
7E994,LicenseType,C59
8A001,LicenseType,C59
8A002,LicenseType,C59
8A018,LicenseType,C59
8A609,LicenseType,C59
8A620,LicenseType,C59
8A992,LicenseType,C59
8B001,LicenseType,C59
8B609,LicenseType,C59
8B620,LicenseType,C59
8C001,LicenseType,C59
8C609,LicenseType,C59
8D001,LicenseType,C59
8D002,LicenseType,C59
8D609,LicenseType,C59
8D620,LicenseType,C59
8D992,LicenseType,C59
8D999,LicenseType,C59
