Code,AttributeName,AttributeValue
1A290,MEU,1A290
1C990,MEU,1C990
1C996,MEU,1C996
1D993,MEU,1D993
1D999,MEU,1D999
1E994,MEU,1E994
2A290,MEU,2A290
2A291,MEU,2A291
2A991,MEU,2A991
2B991,MEU,2B991
2B992,MEU,2B992
2B996,MEU,2B996
2B999,MEU,2B999
2D290,MEU,2D290
3A991,MEU,3A991
3A992,MEU,3A992
3A999,MEU,3A999
3B991,MEU,3B991
3B992,MEU,3B992
3C992,MEU,3C992
3D991,MEU,3D991
3E991,MEU,3E991
4A994,MEU,4A994
4D993,MEU,4D993
4D994,MEU,4D994
5A991,MEU,5A991
5B991,MEU,5B991
5D991,MEU,5D991
5A992,MEU,5A992
5D992,MEU,5D992
5E991,MEU,5E991
6A991,MEU,6A991
6A993,MEU,6A993
6A995,MEU,6A995
6A996,MEU,6A996
6C992,MEU,6C992
7A994,MEU,7A994
7B994,MEU,7B994
7D994,MEU,7D994
7E994,MEU,7E994
8A992,MEU,8A992
8D992,MEU,8D992
8E992,MEU,8E992
9A991,MEU,9A991
9B990,MEU,9B990
9D991,MEU,9D991
9E991,MEU,9E991
