Code,Description
AMAL,Andros Maritime Agencies Ltd
ATHN,Athens Ship Agencies
AWD,Access World (Durban)
COR,Cosren Shipping Agency
DALG,DAL Agency
DIA,Diamond Shipping Services Pty Ltd
DUN,King and Sons
ESA,Evergreen Agency SA Pty Ltd
JFA,John Fish Agencies (Pty) Ltd
KLSA,K Line (South Africa) Pty Ltd
KOSA,Konkar Shipping Agencies S.A
MAAS,Maritime Agencies SA
MAC,MACS Maritime Carrier Shipping
MCM,Mitchell Cotts Maritime
MRD,Marimed Agencies
OAL,Ocean Agencies LTD
OPAG,Ocean Port Agencies Pty Ltd
OVE,Ovenstone Agencies Pty Ltd
PSAG,Pescanova Ships Agents & Brokers
PUAP,Panunion Agencies Pte
SBS,Seaboard Overseas Trading & Shipping
SHRF,Sharaf Shipping Agency Pty Ltd
SLW,Silk Waves Agencies
SMA,Star Maritime Agencies
SRM,Star Maritime Agencies
STGM,Sturrock Grindrod Maritime
STUS,Sturrock Shipping (Pty) Ltd
TAG,Tankers UK Agencies Ltd
TAUK,Tanker (UK) Agencies Limited
TUAL,Tanker (UK) Agencies Limited
VHBA,Vopak Hub Agencies
ZCSV,CSAV Group Agencies (SA) (Pty) Ltd
ZMAL,Zodiac Maritime Agencies Ltd
ZSA,Southern Ships Agencies (Pty) Ltd
