"Sender","Recipient","Interface"
"AG1PQCSIN_DOR","AG1PQCSIN","Dole Order csv-file: Receive OrderManager Orders"
"AG1PQCTRN_DOR","AG1PQCTRN","Dole Order csv-file: Receive OrderManager Orders"
"AG1PQCSIN_DWO","AG1PQCSIN","Dole WH Order csv-file: Receive Warehouse Orders"
"AG1PQCTRN_DWO","AG1PQCTRN","Dole WH Order csv-file: Receive Warehouse Orders"
"AGSWORAGS_RF1","AGSWORAGS","Universal XML - Receive FTP 1"
"AGSWORTS1_RF1","AGSWORTS1","Universal XML - Receive FTP 1"
"AGSWORAGS","AGSWORAGS_SF1","Universal Shipment XML - Send FTP 1"
"AIGEGNEGN","AIGEGNEGN_FUJ","Fuji Photo 210 - Export A/R Invoices"
"AIGEGNEGN","AIGEGNEGN_VCB","Visual Comfort/VC Brand 210 - Export A/R Invoices"
"ALUORDORD.*","ALUORDORD_FTP","ediEnterprise XML-Transfer to ALPI's FTP Server"
"ALUORDORD.*","ALUORDORD_FT1","ediEnterprise XML - Transfer to ALPI's FTP Server"
"AM4BVHBVH_TH1","AM4BVHBVH","ACT Shipment XML - Receive Consols"
"AM4BVHTRN_TH1","AM4BVHTRN","ACT Shipment XML - Receive Consols"
"ARFAFSAFS","ARFAFSAFS_SF1","ARF - Send FTP 1"
"AUSSYDSYD_ISH","AUSSYDSYD","IDS Shipments 1 - Import Customs Declarations"
"AUSSYDSYD_IBR","AUSSYDSYD","IDS Bond Releases 1 - Import Customs Declarations"
"AUSSYDSYD","AUSSYDSYD_ICE","IDS Customs Entry 1 - Send Customs Entry Data"
"VISVAUSYD_GR7","VISVAUSYD","Group7 CargoSoft Manifest xml - Receive Consols"
"CETKOPKOP_KLB","CETKOPKOP","K-Line IFTMCS - Receive Shipping Manager BOLs"
"CEVHOUHOU_IBM","CEVHOUHOU","Import Commerical Invoice In Universal XML format"
"CEVHOUTST_IBM","CEVHOUTST","Import Commerical Invoice In Universal XML format"
"CROMTYMTY","CROMTYMTY_INT","Interfactura xml-file - Export A/R Invoices"
"CROMTYTST","CROMTYTST_INT","Interfactura xml-file - Export A/R Invoices"
"CROMTYMTY_INT","CROMTYMTY","Interfactura xml-file - Receive Invoice pdf-file"
"CROMTYTST_INT","CROMTYTST","Interfactura xml-file - Receive Invoice pdf-file"
"DA1DORDOR","DA1DORDOR_N21","Nulogx 210 - Send AR Invoice Data"
"DA1DORTS1","DA1DORTS1_N21","Nulogx 210 - Send AR Invoice Data"
"DDLHKGHKG_POO","DDLHKGHKG","Peavey US csv File - Import of OrderManager Orders"
"DDLHKGTST_POO","DDLHKGTST","Peavey US csv File - Import of OrderManager Orders"
"DFDSYDPRD_CWR","DFDSYDPRD","Le Creuset SAP - Import of Warehouse Receipts"
"DFDAU2PRD_CWR","DFDAU2PRD","Le Creuset SAP - Import of Warehouse Receipts"
"DFDSYDDQA_CWR","DFDSYDDQA","Le Creuset SAP - Import of Warehouse Receipts"
"DFDAU2DQA_CWR","DFDAU2DQA","Le Creuset SAP - Import of Warehouse Receipts"
"DFDSYDPRD","DFDSYDPRD_CRC","Le Creuset SAP - Export of Warehouse Receipt Conf"
"DFDAU2PRD","DFDAU2PRD_CRC","Le Creuset SAP - Export of Warehouse Receipt Conf"
"DFDSYDDQA","DFDSYDDQA_CRC","Le Creuset SAP - Export of Warehouse Receipt Conf"
"DFDAU2DQA","DFDAU2DQA_CRC","Le Creuset SAP - Export of Warehouse Receipt Conf"
"DFDSYDPRD_CWO","DFDSYDPRD","Le Creuset SAP - Import of Warehouse Orders"
"DFDAU2PRD_CWO","DFDAU2PRD","Le Creuset SAP - Import of Warehouse Orders"
"DFDSYDDQA_CWO","DFDSYDDQA","Le Creuset SAP - Import of Warehouse Orders"
"DFDAU2DQA_CWO","DFDAU2DQA","Le Creuset SAP - Import of Warehouse Orders"
"DFDSYDPRD","DFDSYDPRD_CWR","Le Creuset SAP - Export of Warehouse Releases"
"DFDAU2PRD","DFDAU2PRD_CWR","Le Creuset SAP - Export of Warehouse Releases"
"DFDSYDDQA","DFDSYDDQA_CWR","Le Creuset SAP - Export of Warehouse Releases"
"DFDAU2DQA","DFDAU2DQA_CWR","Le Creuset SAP - Export of Warehouse Releases"
"DFDEWRPRD.*","DFDEWRPRD_EXW","ExWorks XML - Send Transport Booking"
"DFDEWRDQA.*","DFDEWRDQA_EXW","ExWorks XML - Send Transport Booking"
"DFDEWRPRD_EXW","DFDEWRPRD","ExWorks XML - Receive Response Events"
"DFDEWRDQA_EXW","DFDEWRDQA","ExWorks XML - Receive Response Events"
"DFDEWRPRD_EPD","DFDEWRPRD","ExWorks XML - Receive POD Events"
"DFDEWRDQA_EPD","DFDEWRDQA","ExWorks XML - Receive POD Events"
"DHLAKLAK2","DHLAKLAK2_APL","Send Universal Shipment xml files to Apple"
"DOLCTDCTD_MED","DOLCTDCTD","Medline xml-File - Import of Products"
"GEOGSCGUS.*","GEOGSCGUS_ICC","IBM CUSRES File - Generate from Import Customs Dec"
"GEOGFRPRO.*","GEOGFRPRO_EXW","ExWorks XML GEO - Send Transport Booking"
"GEOGFRTS2.*","GEOGFRTS2_EXW","ExWorks XML GEO - Send Transport Booking"
"GEOGFRPRO_EXW","GEOGFRPRO","ExWorks XML GEO - Receive Response Events"
"GEOGFRTS2_EXW","GEOGUSTS2","ExWorks XML GEO - Receive Response Events"
"GEOGFRPRO_EPD","GEOGFRPRO","ExWorks XML GEO - Receive POD Events"
"GEOGFRTS2_EPD","GEOGUSTS2","ExWorks XML GEO - Receive POD Events"
"IPBBNETLX_SAP","IPBBNETLX_SAP","Receive xml files via email to store on FTP server"
"JFMSFZSFZ","JFMSFZSFZ_FGX","FGX 210 - Send A/R Invoices"
".*","KNASYDSYD_CSS","CIEL Status xml - Send Shipment Status"
"KNASYDSYD_RF1","KNASYDSYD","Receive Legacy XML as Consols & Shipments"
"KNAAUSTR2_RF1","KNAAUSTR2","Receive Legacy XML as Consols & Shipments"
"KNASYDTS8_RF1","KNASYDTS8","Receive Legacy XML as Consols & Shipments"
"KNAMELTR9_RF1","KNAMELTR9","Receive Legacy XML as Consols & Shipments"
"KNAMELMEL_RF1","KNAMELMEL","KNAMEL Receive Legacy XML as Consols & Shipments"
"KWESYDSYD","KWESYDSYD_UAR","UFS Invoice txt - Send A/R Invoice data"
"KWESYDTST","KWESYDTST_UAR","UFS Invoice txt - Send A/R Invoice data"
"KWESYDSYD","KWESYDSYD_214","Emerson 214 - Send Status Messages"
"KWESYDTST","KWESYDTST_214","Emerson 214 - Send Status Messages"
"LFSMELMEL_TSH","LFSMELMEL","TMS csv-file - Receive Forwarding Shipments"
"LFSMELMEL_TED","LFSMELMEL","TMS csv-file - Receive Shipment eDocs"
"LO3BHXNBN_PAR","LO3BHXNBN","Previous OS v3 csv file - Receive A/R Invoice data"
"LO3BHXNBN_PAP","LO3BHXNBN","Previous OS v3 csv file - Receive A/P Invoice data"
".*","MBVMBVTS3_SF1","CW1 UXML - Send to FTP Server 1"
"MCEMELHST_RF2","MCEMELHST","Enterprise XML - Receive from FTP Server 1"
"MCEMELTST_RF2","MCEMELTST","Enterprise XML - Receive from FTP Server 1"
"MSCCMBHST_XML","MSCCMBHST","Receive Shipment XML files as Forwarding Bookings"
"OTSEL1MEL_MWO","OTSEL1MEL","Mizuno Order File - Receive Warehouse Orders"
"OTSEL1TST_MWO","OTSEL1TST","Mizuno Order File - Receive Warehouse Orders"
"OTSEL1MEL","OTSEL1MEL_MDD","Mizuno Order Dispatch File - Send Warehouse Orders"
"OTSEL1TST","OTSEL1TST_MDD","Mizuno Order Dispatch File - Send Warehouse Orders"
"PMLDFWCAX","PMLDFWCAX_PIE","Pier 1 ANSI 214 - Export Domestic Shipment Status"
"SDBSYDSYD_LSH","SDBSYDSYD","Import standard Enterprise Universal XML files"
"SDBSYDTST_LSH","SDBSYDTST","Import standard Enterprise Universal XML files"
"SDBSYDSYD.*","SDBSYDSYD_LSH","Store standard Enterprise Universal XML files"
"SDBSYDTST","SDBSYDTST_LSH","Store standard Enterprise Universal XML files"
"TELSYDSYD_COU","TELSYDSYD","Receive Legacy XML-files as Shipments into CW1"
"TR0BNEBNE_BP1","TR0BNEBNE","BP From Project - Receive OrderManager Orders"
"TR0BNETRN_BP1","TR0BNETRN","BP From Project - Receive OrderManager Orders"
".*","TR0BNEBNE_BP1","BP To Project - Send Shipment Data"
".*","TR0BNETRN_BP1","BP To Project - Send Shipment Data"
"TRLVSRTRI_VS1","TRLVSRTRI","VS 850 - Import of OrderManager Orders"
"TRXELPELP","TRXELPELP_CSB","Cisco file - Export Shipment & Billing data"
"TRXELPTST","TRXELPTST_CSB","Cisco file - Export Shipment & Billing data"
